Chromosome	Position	Start	End	Log2R	SegMean	Class
chr1	21488	11868	31109	0.189916035870133	0	IN
chr1	35317	34553	36081	1.26613117258466	0	IN
chr1	52892	52472	53312	-2.0017185172263	0	IN
chr1	60856	57597	64116	0.613610256607578	0	IN
chr1	68501	65418	71585	-0.27908293872118	0	IN
chr1	112065	89294	134836	-0.0113037495455339	0	IN
chr1	135517	135140	135895	0.795796408520888	0	IN
chr1	137823	137681	137965	1.77069493776018	0	IN
chr1	140064	139789	140339	1.28027231882783	0	IN
chr1	157667	141473	173862	-1.00115891144813	0	IN
chr1	183434	182695	184174	-0.724093064241678	0	IN
chr1	190313	185216	195411	-0.167465730502628	0	IN
chr1	390395	257863	522928	0.90097776890817	0	IN
chr1	722758	586070	859446	0.481335391679679	0	IN
chr1	872652	868070	877234	0.0967895969190825	0	IN
chr1	910404	904833	915976	-0.559520681021421	0	IN
chr1	918940	916864	921016	-1.19876672693317	0	IN
chr1	941618	923927	959309	-0.277271888420632	0	IN
chr1	963150	960586	965715	0.118229638639987	0	IN
chr1	974294	966496	982093	-0.27410697647584	0	IN
chr1	997008	995965	998051	-0.441785363178725	0	IN
chr1	999566	998961	1000172	-0.73767254294379	0	IN
chr1	1007838	1001137	1014540	0.347865017151133	0	IN
chr1	1038120	1020122	1056118	-0.374264022141237	0	IN
chr1	1064544	1059733	1069355	-0.391330791186786	0	IN
chr1	1072636	1070965	1074307	1.61818486576875	0	IN
chr1	1099089	1081817	1116361	0	0	IN
chr1	1140536	1137016	1144056	-0.359407917420798	0	IN
chr1	1167150	1167103	1167198	1.34340270901993	0	IN
chr1	1167907	1167862	1167952	1.00789979098647	0	IN
chr1	1169045	1169004	1169087	0.361647207860931	0	IN
chr1	1169849	1169356	1170343	0.0596705085521144	0	IN
chr1	1185495	1173055	1197935	-0.0137893261418228	0	IN
chr1	1205099	1203507	1206691	-0.619653624087686	0	IN
chr1	1212731	1211325	1214138	0.636909192483976	0	IN
chr1	1224469	1216907	1232031	-0.277271888420632	0	IN
chr1	1233633	1232225	1235041	-0.277271888420632	0	IN
chr1	1244583	1242445	1246722	-0.0320910416270473	0	IN
chr1	1250555	1249776	1251334	-0.0351981204185294	0	IN
chr1	1263896	1253908	1273885	-0.0814860089408068	0	IN
chr1	1277821	1275222	1280420	0.57718341913571	0	IN
chr1	1286232	1280435	1292029	0.0446641263880936	0	IN
chr1	1308533	1292375	1324691	-0.273271947891362	0	IN
chr1	1326826	1324755	1328897	1.04952847972134	0	IN
chr1	1340331	1331313	1349350	0.504513849297874	0	IN
chr1	1357232	1352688	1361777	0.229399168907027	0	IN
chr1	1374612	1373729	1375495	0.282636690287881	0	IN
