Chromosome	Position	Start	End	Log2R	SegMean	Class
chr1	21488	11868	31109	0.549254221146454	0	IN
chr1	35317	34553	36081	1.83330202071006	0	IN
chr1	52892	52472	53312	-10.1507722199629	0	IN
chr1	60856	57597	64116	-1.37393829016072	0	IN
chr1	68501	65418	71585	-7.56717161085128	0	IN
chr1	112065	89294	134836	-0.499753537698646	0	IN
chr1	135517	135140	135895	3.50335663959268	0	IN
chr1	137823	137681	137965	1.06195749707163	0	IN
chr1	140064	139789	140339	4.78207383687417	0	IN
chr1	157667	141473	173862	1.46867584541453	0	IN
chr1	183434	182695	184174	0.97870595957621	0	IN
chr1	190313	185216	195411	0.499869708325211	0	IN
chr1	390395	257863	522928	0.767290950333297	0	IN
chr1	722758	586070	859446	0.0021598512772778	0	IN
chr1	872652	868070	877234	-0.740975592919402	0	IN
chr1	910404	904833	915976	1.89261462192922	0	IN
chr1	918940	916864	921016	1.89043459114581	0	IN
chr1	941618	923927	959309	0	0	IN
chr1	963150	960586	965715	-0.772279096540538	0	IN
chr1	974294	966496	982093	0.107436740445321	0	IN
chr1	997008	995965	998051	0.76789996965708	0	IN
chr1	999566	998961	1000172	4.54370757739805	0	IN
chr1	1007838	1001137	1014540	3.718011211835	0	IN
chr1	1038120	1020122	1056118	0.584962500721155	0	IN
chr1	1064544	1059733	1069355	0.782720989776332	0	IN
chr1	1072636	1070965	1074307	-10.5567645796387	0	IN
chr1	1099089	1081817	1116361	0	0	IN
chr1	1140536	1137016	1144056	0	0	IN
chr1	1167150	1167103	1167198	-13.8061240485754	0	IN
chr1	1167907	1167862	1167952	-10.3976869604334	0	IN
chr1	1169045	1169004	1169087	-1.07267683615475	0	IN
chr1	1169849	1169356	1170343	5.44202911764	0	IN
chr1	1185495	1173055	1197935	0.988937707970302	0	IN
chr1	1205099	1203507	1206691	1.75973937767733	0	IN
chr1	1212731	1211325	1214138	2.2919771921163	0	IN
chr1	1224469	1216907	1232031	0	0	IN
chr1	1233633	1232225	1235041	0.584962500721155	0	IN
chr1	1244583	1242445	1246722	-1.03161917833697	0	IN
chr1	1250555	1249776	1251334	3.42819826034791	0	IN
chr1	1263896	1253908	1273885	0.528607758200735	0	IN
chr1	1277821	1275222	1280420	1.72953733854311	0	IN
chr1	1286232	1280435	1292029	-0.00717375010817367	0	IN
chr1	1308533	1292375	1324691	-0.159112564117611	0	IN
chr1	1326826	1324755	1328897	-1.01826225681381	0	IN
chr1	1340331	1331313	1349350	-1.07510828536773	0	IN
chr1	1357232	1352688	1361777	1.29545588352617	0	IN
chr1	1374612	1373729	1375495	0.984007696624859	0	IN
chr1	1378848	1378665	1379032	-8.15077221996288	0	IN
chr1	1392519	1385710	1399328	2.30127932673731	0	IN
chr1	1403417	1399521	1407313	-0.580655945162435	0	IN
chr1	1409856	1409095	1410618	1.75954944496089	0	IN
chr1	1420555	1418419	1422691	4.57418802912698	0	IN
chr1	1426957	1426127	1427787	-0.338744491724111	0	IN
chr1	1432555	1430538	1434573	3.93437940558197	0	IN
chr1	1438871	1434860	1442882	5.66587881591154	0	IN
chr1	1459923	1449688	1470158	-1.7582925460331	0	IN
chr1	1484808	1471768	1497848	2.47804729680464	0	IN
chr1	1506350	1503249	1509452	2.62435466603999	0	IN
chr1	1523418	1512150	1534687	0.890089114010413	0	IN
chr1	1537813	1535173	1540453	0.584962500721155	0	IN
chr1	1559373	1541672	1577075	0	0	IN
chr1	1583709	1583509	1583909	-7.96317476174447	0	IN
chr1	1599053	1598011	1600096	1.7669925439241	0	IN
chr1	1622183	1613757	1630610	0.393304140234338	0	IN
chr1	1645553	1632094	1659012	-0.106657250378926	0	IN
chr1	1676026	1659324	1692728	0	0	IN
chr1	1700861	1699941	1701782	-1.50678650155534	0	IN
chr1	1724364	1702729	1745999	0.387528174019143	0	IN
chr1	1765844	1751231	1780457	0.766930233287273	0	IN
chr1	1838200	1785284	1891117	0	0	IN
chr1	1892064	1891470	1892658	5.72548344900386	0	IN
chr1	1916061	1914826	1917296	-10.8884533535151	0	IN
chr1	1918431	1917589	1919273	-1.52730471813023	0	IN
chr1	1962893	1921950	2003837	0	0	IN
chr1	2014371	2013212	2015530	-0.176255776715153	0	IN
chr1	2025027	2019297	2030758	0	0	IN
chr1	2049636	2049202	2050070	-8.41214357657402	0	IN
chr1	2135603	2050469	2220738	0	0	IN
chr1	2269406	2228694	2310119	0.673617211571003	0	IN
chr1	2356479	2321252	2391707	0	0	IN
chr1	2402785	2391774	2413797	0	0	IN
chr1	2465754	2425979	2505530	0	0	IN
chr1	2517580	2508532	2526628	0	0	IN
chr1	2538102	2528744	2547460	-7.3384561117863	0	IN
chr1	2557650	2549919	2565382	0.5560291296484	0	IN
chr1	2568148	2566409	2569888	-1.58454787360496	0	IN
chr1	2583046	2581559	2584533	-1.10139459298896	0	IN
chr1	2694103	2586490	2801717	0	0	IN
chr1	2812270	2811849	2812692	-6.06223883600123	0	IN
chr1	2814714	2814431	2814998	-3.58373162723899	0	IN
chr1	2840198	2815199	2865198	-0.0698454789563905	0	OUT
chr1	2890198	2865199	2915198	-0.550330418939925	0	OUT
chr1	2964682	2960657	2968707	2.40659515609623	0	IN
chr1	2993907	2968908	3018907	0.182248232059974	0	OUT
chr1	3022192	3021482	3022903	-14.7237609685688	0	IN
chr1	3064025	3059614	3068437	-0.582068985271924	0	IN
chr1	3253894	3069167	3438621	0	0	IN
chr1	3467769	3454425	3481113	1.29991133604531	0	IN
chr1	3487436	3487245	3487627	-4.51068778407736	0	IN
chr1	3550707	3489919	3611495	0	0	IN
chr1	3623966	3623189	3624743	-9.93366912733367	0	IN
chr1	3627564	3625001	3630127	3.32422396462824	0	IN
chr1	3701205	3630766	3771645	0	0	IN
chr1	3774371	3772760	3775982	0.374395514781498	0	IN
chr1	3787530	3778557	3796504	3.22285624057562	0	IN
chr1	3834647	3812080	3857214	0	0	IN
chr1	3871347	3857266	3885429	0	0	IN
chr1	3894708	3889124	3900293	2.49287601472664	0	IN
chr1	3908798	3900371	3917225	0.555734605129723	0	IN
chr1	3947913	3940564	3955262	-1.70746986064533	0	IN
chr1	3994415	3976132	4012699	0	0	IN
chr1	4016214	4012920	4019508	3.098225512396	0	IN
chr1	4044708	4019709	4069708	-0.61564930956822	0	OUT
chr1	4094708	4069709	4119708	-0.068960347158443	0	OUT
chr1	4144708	4119709	4169708	-0.53212715902877	0	OUT
chr1	4175713	4175527	4175899	-10.3541558977829	0	IN
chr1	4201099	4176100	4226099	-0.739915935011968	0	OUT
chr1	4251099	4226100	4276099	-0.061318362179581	0	OUT
chr1	4301099	4276100	4326099	-0.0308950049713701	0	OUT
chr1	4351099	4326100	4376099	0.662578040811309	0	OUT
chr1	4418357	4412026	4424689	3.12913761207601	0	IN
chr1	4449889	4424890	4474889	-0.505575450677614	0	OUT
chr1	4481752	4479130	4484375	-0.312769425450955	0	IN
chr1	4509575	4484576	4534575	-0.125901020041772	0	OUT
chr1	4551939	4551734	4552145	-0.832768005598644	0	IN
chr1	4582744	4571480	4594009	4.00571365119439	0	IN
chr1	4619209	4594210	4644209	0.684369935331671	0	OUT
chr1	4723632	4654731	4792534	-0.287983351467545	0	IN
chr1	4817734	4792735	4842734	0.488106676682285	0	OUT
chr1	4867734	4842735	4892734	-0.147894898918007	0	OUT
chr1	4917734	4892735	4942734	0.166729511216134	0	OUT
chr1	4968625	4963953	4973298	0	0	IN
chr1	4977474	4973380	4981568	4.39523490616105	0	IN
chr1	5006768	4981769	5031768	-0.401469333624062	0	OUT
chr1	5056768	5031769	5081768	-0.440136322526093	0	OUT
chr1	5088678	5086458	5090899	0	0	IN
chr1	5116099	5091100	5141099	-0.0265761088651377	0	OUT
chr1	5166099	5141100	5191099	-0.853981538321569	0	OUT
chr1	5216099	5191100	5241099	0.0701516940211482	0	OUT
chr1	5266099	5241100	5291099	-0.413502837592626	0	OUT
chr1	5304660	5301927	5307394	1.91124513042756	0	IN
chr1	5332594	5307595	5357594	0.168318090977547	0	OUT
chr1	5382594	5357595	5407594	0.390401484779156	0	OUT
chr1	5432594	5407595	5457594	-0.445117652468661	0	OUT
chr1	5486704	5478735	5494674	1.22146523787897	0	IN
chr1	5519874	5494875	5544874	0.237258371487436	0	OUT
chr1	5554813	5554746	5554881	12.0567984087393	0	IN
chr1	5615001	5561708	5668295	0	0	IN
chr1	5693495	5668496	5718495	-0.19253618046451	0	OUT
chr1	5743495	5718496	5768495	-1.10159930416678	0	OUT
chr1	5793495	5768496	5818495	-0.437176575267684	0	OUT
chr1	5862706	5862671	5862741	-0.832768005598644	0	IN
chr1	5982001	5862810	6101193	0	0	IN
chr1	6170618	6101792	6239444	0	0	IN
chr1	6244884	6244191	6245578	-0.691641603656716	0	IN
chr1	6254160	6247345	6260975	-0.769544208274919	0	IN
chr1	6329329	6264268	6394391	0	0	IN
chr1	6418543	6412417	6424670	0	0	IN
chr1	6472418	6424775	6520061	0	0	IN
chr1	6537940	6521346	6554535	0	0	IN
chr1	6567468	6555180	6579757	0	0	IN
chr1	6584640	6580000	6589280	0.627637630321999	0	IN
chr1	6607378	6590723	6624033	-0.607634012854434	0	IN
chr1	6663394	6624865	6701924	0	0	IN
chr1	6727324	6724636	6730012	0.807354922057605	0	IN
chr1	6768995	6767953	6770038	0.997922684967391	0	IN
chr1	6784367	6783891	6784843	5.51415118419162	0	IN
chr1	7277514	6785323	7769706	0	0	IN
chr1	7776350	7771268	7781432	0.402609038930177	0	IN
chr1	7818915	7784319	7853512	0	0	IN
chr1	7878712	7853713	7903712	-0.141318994665023	0	OUT
chr1	7929529	7915893	7943165	-0.0389691769589797	0	IN
chr1	7969897	7954290	7985505	0	0	IN
chr1	8008720	7991133	8026308	1.26540961221354	0	IN
chr1	8074719	8026737	8122702	0.77609709263394	0	IN
chr1	8147902	8122903	8172902	0.192679468902233	0	OUT
chr1	8191296	8189823	8192770	-10.1072476584992	0	IN
chr1	8208819	8202428	8215210	0	0	IN
chr1	8219359	8218189	8220529	-1.2246799295998	0	IN
chr1	8245729	8220730	8270729	0.0394943229200275	0	OUT
chr1	8292209	8292156	8292263	-0.832768005598644	0	IN
chr1	8330996	8317825	8344167	-0.238419934859617	0	IN
chr1	8585019	8352396	8817643	0	0	IN
chr1	8831190	8831006	8831375	-13.3523848323746	0	IN
chr1	8870446	8860999	8879894	0.482536214561985	0	IN
chr1	8883479	8883426	8883533	12.392147019389	0	IN
chr1	8893779	8893408	8894151	0.577840014486157	0	IN
chr1	8907568	8907392	8907744	6.30259713258378	0	IN
chr1	8909822	8909741	8909904	-0.832768005598644	0	IN
chr1	8960479	8945866	8975092	-1.10915578266745	0	IN
chr1	8979724	8979575	8979874	2.74361121067287	0	IN
chr1	9014822	9003299	9026345	-1.96218812073353	0	IN
chr1	9061792	9035106	9088478	-2.35570403570243	0	IN
chr1	9114737	9100304	9129170	0	0	IN
chr1	9173458	9148010	9198906	-2.10327880244933	0	IN
chr1	9253055	9234774	9271337	0	0	IN
chr1	9331205	9292879	9369532	0	0	IN
chr1	9394732	9369733	9419732	0.120963577976966	0	OUT
chr1	9421979	9421097	9422862	-0.551150064886579	0	IN
chr1	9432828	9425093	9440564	4.00195148004822	0	IN
chr1	9465764	9440765	9490764	-0.316990994003707	0	OUT
chr1	9502281	9501091	9503471	-8.33519781202522	0	IN
chr1	9562330	9539481	9585179	0.0209148456419186	0	IN
chr1	9601897	9588921	9614873	0	0	IN
chr1	9738128	9651731	9824526	0	0	IN
chr1	9827279	9826288	9828271	1.99854567019853	0	IN
chr1	9879305	9848275	9910336	0	0	IN
chr1	9953806	9922112	9985501	0	0	IN
chr1	10006612	9997205	10016020	1.5949058902274	0	IN
chr1	10107035	10032831	10181239	-0.198998455393127	0	IN
chr1	10296203	10210804	10381603	0	0	IN
chr1	10384527	10381905	10387150	1.99917458086379	0	IN
chr1	10396423	10395415	10397432	2.41503749927885	0	IN
chr1	10409367	10398591	10420144	0	0	IN
chr1	10441016	10429880	10452153	0.732942290518927	0	IN
chr1	10543639	10456521	10630758	0	0	IN
chr1	10716626	10636603	10796650	0	0	IN
chr1	10821850	10796851	10846850	-0.182521282975746	0	OUT
chr1	10895879	10895760	10895998	-12.0740572538221	0	IN
chr1	10921198	10896199	10946198	-0.337563745076759	0	OUT
chr1	10964253	10946470	10982037	0	0	IN
chr1	10991387	10990977	10991797	-9.99876912651783	0	IN
chr1	11029788	11012343	11047233	0.297892586113376	0	IN
chr1	11057303	11054583	11060024	-0.835552006853274	0	IN
chr1	11084358	11066617	11102100	-0.113765177435683	0	IN
chr1	11184520	11106534	11262507	0	0	IN
chr1	11284627	11273205	11296049	0.953325698344583	0	IN
chr1	11315413	11311733	11319093	3.05668322301209	0	IN
chr1	11344293	11319294	11369293	-0.0720261887834344	0	OUT
chr1	11394293	11369294	11419293	0.012913723816709	0	OUT
chr1	11425538	11425256	11425821	-5.21237740090243	0	IN
chr1	11451021	11426022	11476021	-0.368446763111775	0	OUT
chr1	11508374	11479165	11537584	0	0	IN
chr1	11562784	11537785	11587784	-0.75171085914425	0	OUT
chr1	11611442	11609530	11613355	0.99886803051008	0	IN
chr1	11643442	11623557	11663327	0	0	IN
chr1	11669238	11664123	11674354	0	0	IN
chr1	11683064	11674479	11691650	1.51465003689886	0	IN
chr1	11708792	11691728	11725857	-0.918193659035483	0	IN
chr1	11745442	11736083	11754802	0.868168137458899	0	IN
chr1	11805065	11761786	11848345	-1.15018309420713	0	IN
chr1	11858197	11857463	11858931	-12.628679033293	0	IN
chr1	11879087	11877769	11880406	-0.599481404117786	0	IN
chr1	11910689	11908146	11913232	0	0	IN
chr1	11923009	11919590	11926428	0	0	IN
chr1	11954871	11934204	11975538	0	0	IN
chr1	11996847	11980180	12013514	-0.0100679297784136	0	IN
chr1	12017261	12017215	12017308	-15.488897542378	0	IN
chr1	12025755	12019465	12032045	0.460801118925476	0	IN
chr1	12036876	12036739	12037014	3.8854638435171	0	IN
chr1	12103791	12063376	12144207	0	0	IN
chr1	12188085	12166942	12209228	0	0	IN
chr1	12220951	12220793	12221109	-12.4718326107429	0	IN
chr1	12221209	12221147	12221271	-9.99876912651783	0	IN
chr1	12371038	12230029	12512047	0	0	IN
chr1	12528071	12527723	12528420	4.17405880094932	0	IN
chr1	12592820	12567909	12617731	0	0	IN
chr1	12619071	12618899	12619244	3.87170079944724	0	IN
chr1	12655816	12644546	12667086	-1.04830695784332	0	IN
chr1	12692964	12692908	12693020	-14.9311948142335	0	IN
chr1	12722436	12716114	12728759	-0.465127827073792	0	IN
chr1	12754956	12746214	12763699	1.82928182390024	0	IN
chr1	12776373	12774840	12777906	-0.28600951217796	0	IN
chr1	12794012	12791396	12796628	-4.10762324634273	0	IN
chr1	12822922	12822685	12823159	-4.34610679189556	0	IN
chr1	12828007	12824604	12831410	-5.35237792832952	0	IN
chr1	12839740	12838124	12841357	-14.6328353747166	0	IN
chr1	12848066	12847407	12848725	-0.521198339937934	0	IN
chr1	12859497	12857085	12861909	-2.57812828077047	0	IN
chr1	12882712	12879223	12886201	-5.63301400579188	0	IN
chr1	12895582	12892895	12898270	-3.77895313949226	0	IN
chr1	12918545	12916609	12920482	0.205877102604221	0	IN
chr1	12922606	12922553	12922660	13.3924542045367	0	IN
chr1	12927207	12926161	12928253	-8.9604916176474	0	IN
chr1	12943025	12938471	12947580	-1.40738284969624	0	IN
chr1	13030734	13029338	13032130	-10.9101978786348	0	IN
chr1	13052983	13049475	13056491	-3.31026094550016	0	IN
chr1	13061548	13060868	13062229	-7.07349983214407	0	IN
chr1	13073280	13068676	13077884	-5.4145762045891	0	IN
chr1	13096574	13095178	13097971	-10.8925582823575	0	IN
