Chromosome	Position	Start	End	Log2R	SegMean	Class
chr1	21488	11868	31109	2.28704274390827	0.0423857777400762	IN
chr1	35317	34553	36081	6.30152816501008	0.0423857777400762	IN
chr1	52892	52472	53312	-9.67582060334255	0.0423857777400762	IN
chr1	60856	57597	64116	-10.1604753164773	0.0423857777400762	IN
chr1	68501	65418	71585	-17.6760794123413	0.0423857777400762	IN
chr1	112065	89294	134836	0.275173090499923	0.0423857777400762	IN
chr1	135517	135140	135895	-6.60351125008221	0.0423857777400762	IN
chr1	137823	137681	137965	-10.2797257781922	0.0423857777400762	IN
chr1	140064	139789	140339	-4.74174367302333	0.0423857777400762	IN
chr1	157667	141473	173862	0.513544835383614	0.0423857777400762	IN
chr1	183434	182695	184174	2.90801697067451	0.0423857777400762	IN
chr1	190313	185216	195411	2.44806390149021	0.0423857777400762	IN
chr1	390395	257863	522928	0.224586436480889	0.0423857777400762	IN
chr1	722758	586070	859446	0.0423857777400762	0.0423857777400762	IN
chr1	872652	868070	877234	-0.556386372375629	0.0423857777400762	IN
chr1	910404	904833	915976	4.39838369124193	0.0423857777400762	IN
chr1	918940	916864	921016	4.46226116521391	0.0423857777400762	IN
chr1	941618	923927	959309	0.368136068780913	0.0423857777400762	IN
chr1	963150	960586	965715	-0.0520816228312704	0.0423857777400762	IN
chr1	974294	966496	982093	0.475572809226236	0.0423857777400762	IN
chr1	997008	995965	998051	-9.34295337550892	0.0423857777400762	IN
chr1	999566	998961	1000172	5.27824883886585	0.0423857777400762	IN
chr1	1007838	1001137	1014540	3.77482298924797	0.0423857777400762	IN
chr1	1038120	1020122	1056118	0.0423857777400762	0.0423857777400762	IN
chr1	1064544	1059733	1069355	1.52933408411619	0.0423857777400762	IN
chr1	1072636	1070965	1074307	-10.0818129630184	0.0423857777400762	IN
chr1	1099089	1081817	1116361	0.0423857777400762	0.0423857777400762	IN
chr1	1140536	1137016	1144056	0.571985015633102	0.0423857777400762	IN
chr1	1167150	1167103	1167198	-13.3311724319551	0.0423857777400762	IN
chr1	1167907	1167862	1167952	-9.92273534381307	0.0423857777400762	IN
chr1	1169045	1169004	1169087	-14.1890677995763	0.0423857777400762	IN
chr1	1169849	1169356	1170343	4.58631264627527	0.0423857777400762	IN
chr1	1185495	1173055	1197935	0.466883606267986	0.0423857777400762	IN
chr1	1205099	1203507	1206691	-10.3479073830165	0.0423857777400762	IN
chr1	1212731	1211325	1214138	-9.5532554544264	0.0423857777400762	IN
chr1	1224469	1216907	1232031	0.368136068780913	0.0423857777400762	IN
chr1	1233633	1232225	1235041	5.01301653622798	0.0423857777400762	IN
chr1	1244583	1242445	1246722	-9.55611115998163	0.0423857777400762	IN
chr1	1250555	1249776	1251334	5.4161476593527	0.0423857777400762	IN
chr1	1263896	1253908	1273885	0.490664593704983	0.0423857777400762	IN
chr1	1277821	1275222	1280420	2.15056283297478	0.0423857777400762	IN
chr1	1286232	1280435	1292029	-1.05351689096243	0.0423857777400762	IN
chr1	1308533	1292375	1324691	0.430882413398576	0.0423857777400762	IN
chr1	1326826	1324755	1328897	-0.0913536964936714	0.0423857777400762	IN
chr1	1340331	1331313	1349350	-0.583079551940253	0.0423857777400762	IN
chr1	1357232	1352688	1361777	6.10847496819785	0.0423857777400762	IN
chr1	1374612	1373729	1375495	1.26777296873239	0.0423857777400762	IN
chr1	1378848	1378665	1379032	-7.67582060334255	0.0423857777400762	IN
chr1	1392519	1385710	1399328	4.52175410848969	0.0423857777400762	IN
chr1	1403417	1399521	1407313	1.41091424687136	0.0423857777400762	IN
chr1	1409856	1409095	1410618	3.17328840802075	0.0423857777400762	IN
chr1	1420555	1418419	1422691	4.17363031101833	0.0423857777400762	IN
chr1	1426957	1426127	1427787	-9.86256200162162	0.0423857777400762	IN
chr1	1432555	1430538	1434573	2.71330144655336	0.0423857777400762	IN
chr1	1438871	1434860	1442882	6.14706162321647	0.0423857777400762	IN
chr1	1459923	1449688	1470158	-0.247680283629844	0.0423857777400762	IN
chr1	1484808	1471768	1497848	4.0314166342704	0.0423857777400762	IN
chr1	1506350	1503249	1509452	1.28388289604913	0.0423857777400762	IN
chr1	1523418	1512150	1534687	1.31945534325238	0.0423857777400762	IN
chr1	1537813	1535173	1540453	0.0423857777400762	0.0423857777400762	IN
chr1	1559373	1541672	1577075	0.0423857777400762	0.0423857777400762	IN
chr1	1583709	1583509	1583909	-7.48822314512415	0.0423857777400762	IN
chr1	1599053	1598011	1600096	3.90919576211833	0.0423857777400762	IN
chr1	1622183	1613757	1630610	0.0593048205113149	0.0423857777400762	IN
chr1	1645553	1632094	1659012	1.04017237503885	0.0423857777400762	IN
chr1	1676026	1659324	1692728	0.571985015633102	0.0423857777400762	IN
chr1	1700861	1699941	1701782	1.32403195667257	0.0423857777400762	IN
chr1	1724364	1702729	1745999	0.429913951759218	0.0423857777400762	IN
chr1	1765844	1751231	1780457	1.1182289570051	0.0423857777400762	IN
chr1	1838200	1785284	1891117	0.506533059275398	0.0423857777400762	IN
chr1	1892064	1891470	1892658	-6.9658282360812	0.0423857777400762	IN
