Chromosome	Position	Start	End	Log2R	SegMean	Class
chr1	21488	11868	31109	0.760457106772053	0	IN
chr1	35317	34553	36081	-5.87142168235432	0	IN
chr1	52892	52472	53312	1.02064929580215	0	IN
chr1	60856	57597	64116	-0.762407653269298	0	IN
chr1	68501	65418	71585	0.87081980138771	0	IN
chr1	112065	89294	134836	-0.628498492918742	0	IN
chr1	135517	135140	135895	-5.9564451559615	0	IN
chr1	137823	137681	137965	-3.72112291358251	0	IN
chr1	140064	139789	140339	-2.35816123475332	0	IN
chr1	157667	141473	173862	0.783536022369699	0	IN
chr1	183434	182695	184174	-1.11788389556511	0	IN
chr1	190313	185216	195411	1.10188284958029	0	IN
chr1	390395	257863	522928	-0.900478878847991	0	IN
chr1	722758	586070	859446	0.481335391679679	0	IN
chr1	872652	868070	877234	-2.39757169783493	0	IN
chr1	910404	904833	915976	1.79091883706816	0	IN
chr1	918940	916864	921016	4.02459416523651	0	IN
chr1	941618	923927	959309	0.993165567678659	0	IN
chr1	963150	960586	965715	-0.424745098552126	0	IN
chr1	974294	966496	982093	0.867608998528494	0	IN
chr1	997008	995965	998051	0.445563384342787	0	IN
chr1	999566	998961	1000172	-3.11566370803122	0	IN
chr1	1007838	1001137	1014540	-0.931095704637924	0	IN
chr1	1038120	1020122	1056118	1.63992204672184	0	IN
chr1	1064544	1059733	1069355	0.730670850846888	0	IN
chr1	1072636	1070965	1074307	-3.52950193195423	0	IN
chr1	1099089	1081817	1116361	0	0	IN
chr1	1140536	1137016	1144056	1.65477815144228	0	IN
chr1	1167150	1167103	1167198	-5.23114820510722	0	IN
chr1	1167907	1167862	1167952	-1.14912801950172	0	IN
chr1	1169045	1169004	1169087	2.60614190679676	0	IN
chr1	1169849	1169356	1170343	-0.267257114229381	0	IN
chr1	1185495	1173055	1197935	-0.28065713648307	0	IN
chr1	1205099	1203507	1206691	0.492308977741918	0	IN
chr1	1212731	1211325	1214138	-2.71539768115398	0	IN
chr1	1224469	1216907	1232031	0.993165567678659	0	IN
chr1	1233633	1232225	1235041	0.993165567678659	0	IN
chr1	1244583	1242445	1246722	1.61569372779534	0	IN
chr1	1250555	1249776	1251334	-2.41003734616636	0	IN
chr1	1263896	1253908	1273885	1.70929254283473	0	IN
chr1	1277821	1275222	1280420	-1.44448930213551	0	IN
chr1	1286232	1280435	1292029	0.0500496786932849	0	IN
chr1	1308533	1292375	1324691	0.931515306939134	0	IN
chr1	1326826	1324755	1328897	-0.770784761139663	0	IN
chr1	1340331	1331313	1349350	1.20643005321354	0	IN
chr1	1357232	1352688	1361777	-0.271349034683827	0	IN
chr1	1374612	1373729	1375495	0.380078532869719	0	IN
chr1	1378848	1378665	1379032	-0.0565835283663647	0	IN
chr1	1392519	1385710	1399328	-0.2289045894048	0	IN
chr1	1403417	1399521	1407313	3.81017340150956	0	IN
chr1	1409856	1409095	1410618	0.71578112265806	0	IN
chr1	1420555	1418419	1422691	-2.04971486285947	0	IN
chr1	1426957	1426127	1427787	1.34081795699058	0	IN
chr1	1432555	1430538	1434573	0.277103061979359	0	IN
chr1	1438871	1434860	1442882	-0.113287361653501	0	IN
chr1	1459923	1449688	1470158	0.0934090303666411	0	IN
chr1	1484808	1471768	1497848	-2.15146230370523	0	IN
chr1	1506350	1503249	1509452	-2.14034850280599	0	IN
chr1	1523418	1512150	1534687	-0.586215564487274	0	IN
chr1	1537813	1535173	1540453	1.63992204672184	0	IN
chr1	1559373	1541672	1577075	0	0	IN
chr1	1583709	1583509	1583909	-0.231099063062301	0	IN
chr1	1599053	1598011	1600096	0.656592812037729	0	IN
chr1	1622183	1613757	1630610	1.26798914229798	0	IN
chr1	1645553	1632094	1659012	-0.306181075110351	0	IN
chr1	1676026	1659324	1692728	0.0148561047204379	0	IN
chr1	1700861	1699941	1701782	-2.03980694219576	0	IN
chr1	1724364	1702729	1745999	0.370416089746691	0	IN
chr1	1765844	1751231	1780457	-0.52075892247782	0	IN
chr1	1838200	1785284	1891117	0	0	IN
chr1	1892064	1891470	1892658	-8.56921926122446	0	IN
chr1	1916061	1914826	1917296	-5.91642406277279	0	IN
chr1	1918431	1917589	1919273	-1.59675316407874	0	IN
chr1	1962893	1921950	2003837	0.573338004969375	0	IN
chr1	2014371	2013212	2015530	-1.52293970241749	0	IN
chr1	2025027	2019297	2030758	-1.18542903635787	0	IN
chr1	2049636	2049202	2050070	-2.86543977051235	0	IN
chr1	2135603	2050469	2220738	0.573338004969375	0	IN
chr1	2269406	2228694	2310119	-0.957716223290755	0	IN
chr1	2356479	2321252	2391707	0.573338004969375	0	IN
chr1	2402785	2391774	2413797	0.573338004969375	0	IN
chr1	2465754	2425979	2505530	0.993165567678659	0	IN
chr1	2517580	2508532	2526628	0.993165567678659	0	IN
chr1	2538102	2528744	2547460	-0.426465618982072	0	IN
chr1	2557650	2549919	2565382	-0.206925894791478	0	IN
chr1	2568148	2566409	2569888	1.0080216723991	0	IN
chr1	2583046	2581559	2584533	0.576127843346397	0	IN
chr1	2694103	2586490	2801717	1.77635683940025e-15	0	IN
chr1	2812270	2811849	2812692	-4.37217693524535	0	IN
chr1	2814714	2814431	2814998	-7.28826402782573	0	IN
chr1	2830198	2815199	2845198	-0.114078359787849	0	OUT
chr1	2860198	2845199	2875198	-0.228857261144587	0	OUT
chr1	2890198	2875199	2905198	0.152312124083954	0	OUT
chr1	2920198	2905199	2935198	-0.139497741005947	0	OUT
chr1	2964682	2960657	2968707	1.78923953897404	0	IN
chr1	2983907	2968908	2998907	-0.134206699720239	0	OUT
chr1	3022192	3021482	3022903	-1.89417223050846	0	IN
chr1	3038103	3023104	3053103	0.213553811942828	0	OUT
chr1	3064025	3059614	3068437	1.26814513988476	0	IN
chr1	3253894	3069167	3438621	0.573338004969375	0	IN
chr1	3467769	3454425	3481113	0.41162837629624	0	IN
chr1	3487436	3487245	3487627	-3.86507041991389	0	IN
chr1	3550707	3489919	3611495	0.993165567678659	0	IN
chr1	3623966	3623189	3624743	1.33018842742258	0	IN
chr1	3627564	3625001	3630127	0.218530484776112	0	IN
chr1	3701205	3630766	3771645	0.573338004969375	0	IN
chr1	3774371	3772760	3775982	-5.46729068946913	0	IN
chr1	3787530	3778557	3796504	0	0	IN
chr1	3834647	3812080	3857214	0	0	IN
chr1	3871347	3857266	3885429	0	0	IN
chr1	3894708	3889124	3900293	-1.69621054178667	0	IN
chr1	3908798	3900371	3917225	4.81151215688363	0	IN
chr1	3947913	3940564	3955262	0.0754123950591226	0	IN
chr1	3994415	3976132	4012699	0	0	IN
chr1	4016214	4012920	4019508	2.07921492879061	0	IN
chr1	4034708	4019709	4049708	0.00114731153538283	0	OUT
chr1	4064708	4049709	4079708	-0.0721306970065132	0	OUT
chr1	4094708	4079709	4109708	0.38952917881318	0	OUT
chr1	4124708	4109709	4139708	-0.596817351917215	0	OUT
chr1	4154708	4139709	4169708	-0.230652766192823	0	OUT
chr1	4175713	4175527	4175899	-3.70227022418683	0	IN
chr1	4191099	4176100	4206099	0.29459799225907	0	OUT
chr1	4221099	4206100	4236099	-0.0121143581184116	0	OUT
chr1	4251099	4236100	4266099	0.289462425035069	0	OUT
chr1	4281099	4266100	4296099	-0.180612887430715	0	OUT
chr1	4311099	4296100	4326099	0.0987566110520617	0	OUT
chr1	4341099	4326100	4356099	0.480536028446159	0	OUT
chr1	4371099	4356100	4386099	-0.13459431453542	0	OUT
chr1	4418357	4412026	4424689	2.02937027001867	0	IN
chr1	4439889	4424890	4454889	0.105831061439616	0	OUT
chr1	4481752	4479130	4484375	0.623205438163051	0	IN
chr1	4499575	4484576	4514575	-0.28171902081949	0	OUT
chr1	4529575	4514576	4544575	0.367780165134405	0	OUT
chr1	4551939	4551734	4552145	-8.72971188241351	0	IN
chr1	4582744	4571480	4594009	-0.325838939783678	0	IN
chr1	4609209	4594210	4624209	-0.0633187767796122	0	OUT
chr1	4639209	4624210	4654209	0.137047338226837	0	OUT
chr1	4723632	4654731	4792534	0.00129664030572041	0	IN
chr1	4807734	4792735	4822734	-0.196971463679356	0	OUT
chr1	4837734	4822735	4852734	-0.0684283657932923	0	OUT
chr1	4867734	4852735	4882734	-0.133707115502986	0	OUT
chr1	4897734	4882735	4912734	0.116528009137427	0	OUT
chr1	4927734	4912735	4942734	0.252721231491012	0	OUT
chr1	4968625	4963953	4973298	0	0	IN
chr1	4977474	4973380	4981568	-1.20761863583776	0	IN
chr1	4996768	4981769	5011768	0.475255203502931	0	OUT
chr1	5026768	5011769	5041768	0.560908981771372	0	OUT
chr1	5056768	5041769	5071768	-0.451515140557322	0	OUT
chr1	5088678	5086458	5090899	0	0	IN
chr1	5106099	5091100	5121099	-0.556760397915719	0	OUT
chr1	5136099	5121100	5151099	-0.241140214757902	0	OUT
chr1	5166099	5151100	5181099	0.7787900431586	0	OUT
chr1	5196099	5181100	5211099	-0.355543660306121	0	OUT
chr1	5226099	5211100	5241099	0.0403215296978727	0	OUT
chr1	5256099	5241100	5271099	0.216727944547523	0	OUT
chr1	5286099	5271100	5301099	0.76436297252332	0	OUT
chr1	5304660	5301927	5307394	-0.87473288883577	0	IN
chr1	5322594	5307595	5337594	0.480027932850283	0	OUT
chr1	5352594	5337595	5367594	0.301088509097583	0	OUT
chr1	5382594	5367595	5397594	0.31222224323967	0	OUT
chr1	5412594	5397595	5427594	0.572980506017758	0	OUT
chr1	5442594	5427595	5457594	0.0111527532499798	0	OUT
chr1	5486704	5478735	5494674	1.79666620209748	0	IN
chr1	5509874	5494875	5524874	-0.129626406680881	0	OUT
chr1	5539874	5524875	5554874	0.336015894924051	0	OUT
chr1	5554813	5554746	5554881	-10.1266422425718	0	IN
chr1	5615001	5561708	5668295	0	0	IN
chr1	5683495	5668496	5698495	0.0721980980359112	0	OUT
chr1	5713495	5698496	5728495	0.0870672939905233	0	OUT
chr1	5743495	5728496	5758495	0.133879052412582	0	OUT
chr1	5773495	5758496	5788495	-0.228196387157505	0	OUT
chr1	5803495	5788496	5818495	-0.519255421391676	0	OUT
chr1	5833495	5818496	5848495	-0.109194545413194	0	OUT
chr1	5862706	5862671	5862741	-11.6798782114773	0	IN
chr1	5982001	5862810	6101193	0	0	IN
chr1	6170618	6101792	6239444	0	0	IN
chr1	6244884	6244191	6245578	-1.85547188886102	0	IN
chr1	6254160	6247345	6260975	-0.358045998563535	0	IN
chr1	6329329	6264268	6394391	0	0	IN
chr1	6418543	6412417	6424670	0.573338004969375	0	IN
chr1	6472418	6424775	6520061	0.573338004969375	0	IN
chr1	6537940	6521346	6554535	0	0	IN
chr1	6567468	6555180	6579757	0	0	IN
chr1	6584640	6580000	6589280	0.114534922519983	0	IN
chr1	6607378	6590723	6624033	0.0959673151527833	0	IN
chr1	6663394	6624865	6701924	0	0	IN
chr1	6727324	6724636	6730012	-1.04119587326929	0	IN
chr1	6745212	6730213	6760212	-0.517451408065116	0	OUT
chr1	6768995	6767953	6770038	3.18951547112522	0	IN
chr1	6784367	6783891	6784843	-1.97867496370414	0	IN
chr1	7277514	6785323	7769706	0	0	IN
chr1	7776350	7771268	7781432	0.555750841523722	0	IN
chr1	7818915	7784319	7853512	0	0	IN
chr1	7868712	7853713	7883712	0.363752543879756	0	OUT
chr1	7898712	7883713	7913712	-0.378985875617595	0	OUT
chr1	7929529	7915893	7943165	0.611328736118647	0	IN
chr1	7969897	7954290	7985505	0	0	IN
chr1	8008720	7991133	8026308	-0.564661472477014	0	IN
chr1	8074719	8026737	8122702	-0.719684016495557	0	IN
chr1	8137902	8122903	8152902	0.13215064588262	0	OUT
chr1	8167902	8152903	8182902	-0.325872318213197	0	OUT
chr1	8191296	8189823	8192770	2.76778461888118	0	IN
chr1	8208819	8202428	8215210	0	0	IN
chr1	8219359	8218189	8220529	-0.778841178602666	0	IN
chr1	8235729	8220730	8250729	-0.37058758087963	0	OUT
chr1	8265729	8250730	8280729	0.0132552967956234	0	OUT
chr1	8292209	8292156	8292263	1.07420741440724	0	IN
chr1	8330996	8317825	8344167	-0.10877394034648	0	IN
chr1	8585019	8352396	8817643	0	0	IN
chr1	8831190	8831006	8831375	1.79141337818858	0	IN
chr1	8870446	8860999	8879894	0.0644139598270168	0	IN
chr1	8883479	8883426	8883533	-6.30975452586187	0	IN
chr1	8893779	8893408	8894151	-3.01975697338587	0	IN
chr1	8907568	8907392	8907744	-4.26017110919834	0	IN
chr1	8909822	8909741	8909904	1.07420741440724	0	IN
chr1	8925104	8910105	8940104	-0.221209956841399	0	OUT
chr1	8960479	8945866	8975092	0.570154182612407	0	IN
chr1	8979724	8979575	8979874	1.41985451557662	0	IN
chr1	9014822	9003299	9026345	-0.946522090232994	0	IN
chr1	9061792	9035106	9088478	-1.29874280704905	0	IN
chr1	9114737	9100304	9129170	-0.809620982932557	0	IN
chr1	9173458	9148010	9198906	0	0	IN
chr1	9214106	9199107	9229106	0.197125132538019	0	OUT
chr1	9253055	9234774	9271337	0	0	IN
chr1	9331205	9292879	9369532	0	0	IN
chr1	9384732	9369733	9399732	-0.446074804678084	0	OUT
chr1	9421979	9421097	9422862	1.18461604555596	0	IN
chr1	9432828	9425093	9440564	-2.17925832651988	0	IN
chr1	9455764	9440765	9470764	0.128536082185723	0	OUT
chr1	9485764	9470765	9500764	-0.38447859524469	0	OUT
chr1	9502281	9501091	9503471	2.87530984141656	0	IN
chr1	9518671	9503672	9533671	-1.05083040577471	0	OUT
chr1	9562330	9539481	9585179	0.236994554963898	0	IN
chr1	9601897	9588921	9614873	0.573338004969375	0	IN
chr1	9630073	9615074	9645073	-0.477832260895346	0	OUT
chr1	9738128	9651731	9824526	0	0	IN
chr1	9827279	9826288	9828271	-1.91253715874966	0	IN
chr1	9879305	9848275	9910336	0	0	IN
chr1	9953806	9922112	9985501	0	0	IN
chr1	10006612	9997205	10016020	1.24811621685159	0	IN
chr1	10107035	10032831	10181239	-0.249922031137533	0	IN
chr1	10296203	10210804	10381603	0	0	IN
chr1	10384527	10381905	10387150	-0.255379788225325	0	IN
chr1	10396423	10395415	10397432	-1.16175106999662	0	IN
chr1	10409367	10398591	10420144	0	0	IN
chr1	10441016	10429880	10452153	0.253526556818441	0	IN
chr1	10543639	10456521	10630758	0	0	IN
chr1	10716626	10636603	10796650	0.573338004969375	0	IN
chr1	10811850	10796851	10826850	-0.0871361386356031	0	OUT
chr1	10841850	10826851	10856850	-0.506983079558593	0	OUT
chr1	10871850	10856851	10886850	-0.261630484257065	0	OUT
chr1	10895879	10895760	10895998	4.3458737905124	0	IN
chr1	10911198	10896199	10926198	-0.00812156412990506	0	OUT
chr1	10964253	10946470	10982037	0	0	IN
chr1	10991387	10990977	10991797	-0.330895972506863	0	IN
chr1	11029788	11012343	11047233	-0.222331334877715	0	IN
chr1	11057303	11054583	11060024	-0.551823048131243	0	IN
chr1	11084358	11066617	11102100	-0.0300900399545698	0	IN
chr1	11184520	11106534	11262507	0	0	IN
chr1	11284627	11273205	11296049	0.689396956868726	0	IN
chr1	11315413	11311733	11319093	1.51165200785451	0	IN
chr1	11334293	11319294	11349293	-0.170459866509731	0	OUT
chr1	11364293	11349294	11379293	0.22320398197655	0	OUT
