Chromosome	Position	Start	End	Log2R	SegMean	Class
chr1	21488	11868	31109	0.0278786040613812	0	IN
chr1	35317	34553	36081	0.967826898832449	0	IN
chr1	52892	52472	53312	-0.61832109766759	0	IN
chr1	60856	57597	64116	-0.519799030159487	0	IN
chr1	68501	65418	71585	1.1516044695144	0	IN
chr1	112065	89294	134836	0.318286982214968	0	IN
chr1	135517	135140	135895	0.366559489767152	0	IN
chr1	137823	137681	137965	-2.34578379318286	0	IN
chr1	140064	139789	140339	0.26184266579139	0	IN
chr1	157667	141473	173862	0.458839620454482	0	IN
chr1	183434	182695	184174	-0.18273383603428	0	IN
chr1	190313	185216	195411	-0.220058737061819	0	IN
chr1	390395	257863	522928	0.408695116138338	0	IN
chr1	722758	586070	859446	-2.47024622979097e-15	0	IN
chr1	872652	868070	877234	0.213354228343598	0	IN
chr1	910404	904833	915976	0.00778286289473767	0	IN
chr1	918940	916864	921016	-0.863156029444652	0	IN
chr1	941618	923927	959309	0	0	IN
chr1	963150	960586	965715	0.018217856304892	0	IN
chr1	974294	966496	982093	-0.0117579844005832	0	IN
chr1	997008	995965	998051	-0.0451798202072504	0	IN
chr1	999566	998961	1000172	-0.282186982588795	0	IN
chr1	1007838	1001137	1014540	0.148402744805421	0	IN
chr1	1038120	1020122	1056118	0	0	IN
chr1	1064544	1059733	1069355	-0.0546540000081538	0	IN
chr1	1072636	1070965	1074307	-0.21695853528582	0	IN
chr1	1099089	1081817	1116361	0	0	IN
chr1	1140536	1137016	1144056	0	0	IN
chr1	1167150	1167103	1167198	-1.50069358382355	0	IN
chr1	1167907	1167862	1167952	1.12045632517801	0	IN
chr1	1169045	1169004	1169087	-0.205818671041494	0	IN
chr1	1169849	1169356	1170343	-0.238960270854931	0	IN
chr1	1185495	1173055	1197935	-0.065534573314647	0	IN
chr1	1205099	1203507	1206691	-0.0765504597702357	0	IN
chr1	1212731	1211325	1214138	-0.138468375471348	0	IN
chr1	1224469	1216907	1232031	0	0	IN
chr1	1233633	1232225	1235041	0	0	IN
chr1	1244583	1242445	1246722	-0.0322936500841238	0	IN
chr1	1250555	1249776	1251334	-0.347300097941152	0	IN
chr1	1263896	1253908	1273885	0.00592002309086719	0	IN
chr1	1277821	1275222	1280420	-1.20744123687109	0	IN
chr1	1286232	1280435	1292029	0.0249096033538102	0	IN
chr1	1308533	1292375	1324691	0.0202990704698686	0	IN
chr1	1326826	1324755	1328897	0.0212048945234295	0	IN
chr1	1340331	1331313	1349350	0.218133112977104	0	IN
chr1	1357232	1352688	1361777	0	0	IN
chr1	1374612	1373729	1375495	-0.389433844339992	0	IN
chr1	1378848	1378665	1379032	-0.321928094887366	0	IN
chr1	1392519	1385710	1399328	0.169957278474101	0	IN
chr1	1403417	1399521	1407313	-0.166268337800018	0	IN
chr1	1409856	1409095	1410618	-0.846870241100669	0	IN
chr1	1420555	1418419	1422691	0.65731334494584	0	IN
chr1	1426957	1426127	1427787	-0.42062990177539	0	IN
chr1	1432555	1430538	1434573	-0.225366845647987	0	IN
chr1	1438871	1434860	1442882	-0.276260596248586	0	IN
chr1	1459923	1449688	1470158	-0.0379907556815815	0	IN
chr1	1484808	1471768	1497848	-2.47024622979097e-15	0	IN
chr1	1506350	1503249	1509452	-0.849448760461999	0	IN
chr1	1523418	1512150	1534687	0.0907609860574972	0	IN
chr1	1537813	1535173	1540453	0	0	IN
chr1	1559373	1541672	1577075	0	0	IN
chr1	1583709	1583509	1583909	0.310649510035146	0	IN
chr1	1599053	1598011	1600096	0.842095691068526	0	IN
chr1	1622183	1613757	1630610	0.038285698740963	0	IN
chr1	1645553	1632094	1659012	-0.163111362373416	0	IN
chr1	1676026	1659324	1692728	0	0	IN
chr1	1700861	1699941	1701782	0.481912595456041	0	IN
chr1	1724364	1702729	1745999	-0.0574718750377479	0	IN
chr1	1765844	1751231	1780457	0.0469516439060726	0	IN
chr1	1838200	1785284	1891117	0	0	IN
chr1	1892064	1891470	1892658	0.594287197556997	0	IN
chr1	1916061	1914826	1917296	0.010180772206722	0	IN
chr1	1918431	1917589	1919273	-0.600180357061039	0	IN
chr1	1962893	1921950	2003837	0	0	IN
chr1	2014371	2013212	2015530	1.82249998427639	0	IN
chr1	2025027	2019297	2030758	0	0	IN
chr1	2049636	2049202	2050070	0.333423733725194	0	IN
chr1	2135603	2050469	2220738	0	0	IN
chr1	2269406	2228694	2310119	0.096475667457107	0	IN
chr1	2356479	2321252	2391707	0	0	IN
chr1	2402785	2391774	2413797	0	0	IN
chr1	2465754	2425979	2505530	0	0	IN
chr1	2517580	2508532	2526628	-2.47024622979097e-15	0	IN
chr1	2538102	2528744	2547460	-0.208916265288045	0	IN
chr1	2557650	2549919	2565382	-0.00655149431680133	0	IN
chr1	2568148	2566409	2569888	0	0	IN
chr1	2583046	2581559	2584533	0.599045125152127	0	IN
chr1	2694103	2586490	2801717	0	0	IN
