Chromosome	Position	Start	End	Log2R	SegMean	Class
chr1	21488	11868	31109	0.867523165053476	0	IN
chr1	35317	34553	36081	-8.74339863810812	0	IN
chr1	52892	52472	53312	-10.3222398123607	0	IN
chr1	60856	57597	64116	-0.918383593896293	0	IN
chr1	68501	65418	71585	-10.0766509097106	0	IN
chr1	112065	89294	134836	-0.481274152647541	0	IN
chr1	135517	135140	135895	5.84176012140181	0	IN
chr1	137823	137681	137965	-10.9993648409028	0	IN
chr1	140064	139789	140339	6.85828590661718	0	IN
chr1	157667	141473	173862	1.66850453118469	0	IN
chr1	183434	182695	184174	-11.1220723492791	0	IN
chr1	190313	185216	195411	1.11523844533439	0	IN
chr1	390395	257863	522928	-0.183177411229188	0	IN
chr1	722758	586070	859446	2.24140466418915	0	IN
chr1	872652	868070	877234	-0.344531059592524	0	IN
chr1	910404	904833	915976	4.84415266182102	0	IN
chr1	918940	916864	921016	-7.29537933291068	0	IN
chr1	941618	923927	959309	1.91644271904233	0	IN
chr1	963150	960586	965715	0.0412990362732799	0	IN
chr1	974294	966496	982093	1.92894832611699	0	IN
chr1	997008	995965	998051	-9.11622823606461	0	IN
chr1	999566	998961	1000172	4.4394355994052	0	IN
chr1	1007838	1001137	1014540	4.75355498502683	0	IN
chr1	1038120	1020122	1056118	0	0	IN
chr1	1064544	1059733	1069355	3.18224919842404	0	IN
chr1	1072636	1070965	1074307	1.71835488854648	0	IN
chr1	1099089	1081817	1116361	0	0	IN
chr1	1140536	1137016	1144056	0	0	IN
chr1	1167150	1167103	1167198	-11.4656607760172	0	IN
chr1	1167907	1167862	1167952	5.28663476489269	0	IN
chr1	1169045	1169004	1169087	-13.117355870788	0	IN
chr1	1169849	1169356	1170343	7.5720530137889	0	IN
chr1	1185495	1173055	1197935	-0.429626287942814	0	IN
chr1	1205099	1203507	1206691	-10.5573638611325	0	IN
chr1	1212731	1211325	1214138	-9.98631352915843	0	IN
chr1	1224469	1216907	1232031	1.91644271904233	0	IN
chr1	1233633	1232225	1235041	3.50140521976349	0	IN
chr1	1244583	1242445	1246722	-9.83473949839779	0	IN
chr1	1250555	1249776	1251334	3.94899853823294	0	IN
chr1	1263896	1253908	1273885	0.933951099711489	0	IN
chr1	1277821	1275222	1280420	4.63274562368861	0	IN
chr1	1286232	1280435	1292029	-1.24909501610186	0	IN
chr1	1308533	1292375	1324691	1.98146599705251	0	IN
chr1	1326826	1324755	1328897	0.77501696375829	0	IN
chr1	1340331	1331313	1349350	-1.42303055140464	0	IN
chr1	1357232	1352688	1361777	3.05311133645956	0	IN
chr1	1374612	1373729	1375495	2.88272326962008	0	IN
chr1	1378848	1378665	1379032	-8.1800394736025	0	IN
chr1	1392519	1385710	1399328	2.48618319904815	0	IN
chr1	1403417	1399521	1407313	1.06625870323117	0	IN
chr1	1409856	1409095	1410618	10.6268476806707	0	IN
chr1	1420555	1418419	1422691	1.57373976924506	0	IN
chr1	1426957	1426127	1427787	-10.2332219821433	0	IN
chr1	1432555	1430538	1434573	2.03398694491789	0	IN
chr1	1438871	1434860	1442882	7.23420133348822	0	IN
chr1	1459923	1449688	1470158	-1.88015179168678	0	IN
chr1	1484808	1471768	1497848	5.19264507794239	0	IN
chr1	1506350	1503249	1509452	-0.405609953507847	0	IN
chr1	1523418	1512150	1534687	1.25725919237929	0	IN
chr1	1537813	1535173	1540453	0	0	IN
chr1	1559373	1541672	1577075	0	0	IN
chr1	1583709	1583509	1583909	-7.36555142824276	0	IN
chr1	1599053	1598011	1600096	-0.137136656434777	0	IN
chr1	1622183	1613757	1630610	-0.0440284861963853	0	IN
chr1	1645553	1632094	1659012	0.969946476863432	0	IN
chr1	1676026	1659324	1692728	0	0	IN
chr1	1700861	1699941	1701782	-0.693998609923219	0	IN
chr1	1724364	1702729	1745999	0.466466369755937	0	IN
chr1	1765844	1751231	1780457	1.1565859130413	0	IN
chr1	1838200	1785284	1891117	0	0	IN
chr1	1892064	1891470	1892658	-6.36780339235531	0	IN
chr1	1916061	1914826	1917296	-10.6473980388402	0	IN
chr1	1918431	1917589	1919273	-0.311967257456229	0	IN
chr1	1962893	1921950	2003837	0	0	IN
chr1	2014371	2013212	2015530	3.45880936499776	0	IN
chr1	2025027	2019297	2030758	1.91644271904233	0	IN
chr1	2049636	2049202	2050070	-8.44080931059241	0	IN
chr1	2135603	2050469	2220738	0	0	IN
chr1	2269406	2228694	2310119	1.55761839335763	0	IN
chr1	2356479	2321252	2391707	0	0	IN
chr1	2402785	2391774	2413797	0	0	IN
chr1	2465754	2425979	2505530	1.91644271904233	0	IN
chr1	2517580	2508532	2526628	1.91644271904233	0	IN
chr1	2538102	2528744	2547460	1.30991420457079	0	IN
chr1	2557650	2549919	2565382	2.59218168830663	0	IN
chr1	2568148	2566409	2569888	-9.76107627110986	0	IN
chr1	2583046	2581559	2584533	2.88090340527757	0	IN
chr1	2694103	2586490	2801717	3.30368412988116	0	IN
chr1	2812270	2811849	2812692	-5.55259340590538	0	IN
chr1	2814714	2814431	2814998	-3.68680286862148	0	IN
chr1	2840198	2815199	2865198	1.21361228032277	0	OUT
chr1	2890198	2865199	2915198	-0.276936118514388	0	OUT
chr1	2964682	2960657	2968707	-6.99255977553855	0	IN
chr1	2993907	2968908	3018907	0.766742274740935	0	OUT
chr1	3022192	3021482	3022903	-14.9356995666119	0	IN
chr1	3064025	3059614	3068437	2.19182941383076	0	IN
chr1	3253894	3069167	3438621	0	0	IN
chr1	3467769	3454425	3481113	3.43474444518436	0	IN
chr1	3487436	3487245	3487627	13.4214373608819	0	IN
chr1	3550707	3489919	3611495	1.91644271904233	0	IN
chr1	3623966	3623189	3624743	4.47395860710683	0	IN
chr1	3627564	3625001	3630127	3.33680439408971	0	IN
chr1	3701205	3630766	3771645	0	0	IN
chr1	3774371	3772760	3775982	-9.89434280197332	0	IN
chr1	3787530	3778557	3796504	-0.569204881792002	0	IN
chr1	3834647	3812080	3857214	0	0	IN
