Chromosome	Position	Start	End	Log2R	SegMean	Class
chr1	21488	11868	31109	0.857141977830207	0.292781749227848	IN
chr1	35317	34553	36081	-13.0810729198187	0.292781749227848	IN
chr1	52892	52472	53312	-0.0890292656211908	0.292781749227848	IN
chr1	60856	57597	64116	-0.0890292656211908	0.292781749227848	IN
chr1	68501	65418	71585	-0.0890292656211908	0.292781749227848	IN
chr1	112065	89294	134836	1.64618701772587	0.292781749227848	IN
chr1	135517	135140	135895	16.1300171756682	0.292781749227848	IN
chr1	137823	137681	137965	-0.0890292656211908	0.292781749227848	IN
chr1	140064	139789	140339	17.2796584395757	0.292781749227848	IN
chr1	157667	141473	173862	1.98891612010047	0.292781749227848	IN
chr1	183434	182695	184174	-13.1280954107554	0.292781749227848	IN
chr1	190313	185216	195411	1.3936549433747	0.292781749227848	IN
chr1	390395	257863	522928	1.35751429446494	0.292781749227848	IN
chr1	722758	586070	859446	1.35751429446494	0.292781749227848	IN
chr1	872652	868070	877234	2.82026025793324	0.292781749227848	IN
chr1	910404	904833	915976	-9.98098284429961	0.292781749227848	IN
chr1	918940	916864	921016	-12.1844995832462	0.292781749227848	IN
chr1	941618	923927	959309	1.67438719921183	0.292781749227848	IN
chr1	963150	960586	965715	2.15222501519356	0.292781749227848	IN
chr1	974294	966496	982093	-10.9809828442996	0.292781749227848	IN
chr1	997008	995965	998051	16.4356391886557	0.292781749227848	IN
chr1	999566	998961	1000172	5.7135874521686	0.292781749227848	IN
chr1	1007838	1001137	1014540	3.33051737794426	0.292781749227848	IN
chr1	1038120	1020122	1056118	2.00013749025267	0.292781749227848	IN
chr1	1064544	1059733	1069355	-10.9809828442996	0.292781749227848	IN
chr1	1072636	1070965	1074307	-0.0890292656211908	0.292781749227848	IN
chr1	1099089	1081817	1116361	2.69273372835975	0.292781749227848	IN
chr1	1140536	1137016	1144056	-10.1848317911518	0.292781749227848	IN
chr1	1167150	1167103	1167198	-0.0890292656211908	0.292781749227848	IN
chr1	1167907	1167862	1167952	-0.0890292656211908	0.292781749227848	IN
chr1	1169045	1169004	1169087	-0.0890292656211908	0.292781749227848	IN
chr1	1169849	1169356	1170343	-12.3464712453857	0.292781749227848	IN
chr1	1185495	1173055	1197935	2.68715400594723	0.292781749227848	IN
chr1	1205099	1203507	1206691	-0.0890292656211908	0.292781749227848	IN
chr1	1212731	1211325	1214138	-0.0890292656211908	0.292781749227848	IN
chr1	1224469	1216907	1232031	1.67438719921183	0.292781749227848	IN
chr1	1233633	1232225	1235041	3.50663254234789	0.292781749227848	IN
chr1	1244583	1242445	1246722	-0.0890292656211908	0.292781749227848	IN
chr1	1250555	1249776	1251334	-12.1848317911518	0.292781749227848	IN
chr1	1263896	1253908	1273885	4.40819674176614	0.292781749227848	IN
chr1	1277821	1275222	1280420	-0.985753188414674	0.292781749227848	IN
chr1	1286232	1280435	1292029	0.263034405833798	0.292781749227848	IN
chr1	1308533	1292375	1324691	1.68698684780024	0.292781749227848	IN
chr1	1326826	1324755	1328897	2.57968853020536	0.292781749227848	IN
chr1	1340331	1331313	1349350	3.6631025029751	0.292781749227848	IN
chr1	1357232	1352688	1361777	-0.563451359675922	0.292781749227848	IN
chr1	1374612	1373729	1375495	5.77686717184654	0.292781749227848	IN
chr1	1378848	1378665	1379032	-0.0890292656211908	0.292781749227848	IN
chr1	1392519	1385710	1399328	1.30882906889405	0.292781749227848	IN
chr1	1403417	1399521	1407313	0.574346683830143	0.292781749227848	IN
chr1	1409856	1409095	1410618	0.794778301200711	0.292781749227848	IN
chr1	1420555	1418419	1422691	-11.0699323034922	0.292781749227848	IN
chr1	1426957	1426127	1427787	-0.0890292656211908	0.292781749227848	IN
chr1	1432555	1430538	1434573	-9.65451693070398	0.292781749227848	IN
chr1	1438871	1434860	1442882	4.22484026670674	0.292781749227848	IN
chr1	1459923	1449688	1470158	0.318203235793908	0.292781749227848	IN
chr1	1484808	1471768	1497848	3.65289367228329	0.292781749227848	IN
chr1	1506350	1503249	1509452	-8.18503528038284	0.292781749227848	IN
chr1	1523418	1512150	1534687	2.77034567464388	0.292781749227848	IN
chr1	1537813	1535173	1540453	2.00013749025267	0.292781749227848	IN
chr1	1559373	1541672	1577075	2.69273372835975	0.292781749227848	IN
chr1	1583709	1583509	1583909	-0.0890292656211908	0.292781749227848	IN
chr1	1599053	1598011	1600096	2.90623253011099	0.292781749227848	IN
chr1	1622183	1613757	1630610	2.32204846512578	0.292781749227848	IN
chr1	1645553	1632094	1659012	2.4623493984982	0.292781749227848	IN
chr1	1676026	1659324	1692728	1.520511294679	0.292781749227848	IN
chr1	1700861	1699941	1701782	4.94543337429702	0.292781749227848	IN
chr1	1724364	1702729	1745999	2.05011053257203	0.292781749227848	IN
chr1	1765844	1751231	1780457	2.45155155850815	0.292781749227848	IN
chr1	1838200	1785284	1891117	1.53599020871734	0.292781749227848	IN
chr1	1892064	1891470	1892658	-0.0890292656211908	0.292781749227848	IN
chr1	1916061	1914826	1917296	-11.3488324844109	0.292781749227848	IN
chr1	1918431	1917589	1919273	-0.0890292656211908	0.292781749227848	IN
chr1	1962893	1921950	2003837	3.33051737794426	0.292781749227848	IN
chr1	2014371	2013212	2015530	-0.0890292656211908	0.292781749227848	IN
chr1	2025027	2019297	2030758	-9.98098284429961	0.292781749227848	IN
chr1	2049636	2049202	2050070	-0.0890292656211908	0.292781749227848	IN
chr1	2135603	2050469	2220738	3.33051737794426	0.292781749227848	IN
chr1	2269406	2228694	2310119	3.2676527106119	0.292781749227848	IN
chr1	2356479	2321252	2391707	3.33051737794426	0.292781749227848	IN
chr1	2402785	2391774	2413797	3.33051737794426	0.292781749227848	IN
chr1	2465754	2425979	2505530	-9.98098284429961	0.292781749227848	IN
chr1	2517580	2508532	2526628	1.67438719921183	0.292781749227848	IN
chr1	2538102	2528744	2547460	-0.0890292656211908	0.292781749227848	IN
chr1	2557650	2549919	2565382	-0.669721439198074	0.292781749227848	IN
chr1	2568148	2566409	2569888	-0.0890292656211908	0.292781749227848	IN
chr1	2583046	2581559	2584533	-0.0890292656211908	0.292781749227848	IN
chr1	2694103	2586490	2801717	0.893367012929622	0.292781749227848	IN
chr1	2812270	2811849	2812692	-0.0890292656211908	0.292781749227848	IN
chr1	2814714	2814431	2814998	-0.0890292656211908	0.292781749227848	IN
chr1	2840198	2815199	2865198	2	0.292781749227848	OUT
chr1	2890198	2865199	2915198	-3.16992500144231	0.292781749227848	OUT
chr1	2964682	2960657	2968707	-0.0890292656211908	0.292781749227848	IN
chr1	2993907	2968908	3018907	-2.58496250072116	0.292781749227848	OUT
chr1	3022192	3021482	3022903	-0.0890292656211908	0.292781749227848	IN
chr1	3064025	3059614	3068437	-9.98106459497485	0.292781749227848	IN
chr1	3253894	3069167	3438621	3.33051737794426	0.292781749227848	IN
chr1	3467769	3454425	3481113	-1.01757486275256	0.292781749227848	IN
