Chromosome	Position	Start	End	Log2R	SegMean	Class
chr1	21488	11868	31109	-0.530523669594215	0	IN
chr1	35317	34553	36081	7.85614716016495	0	IN
chr1	52892	52472	53312	-2.11375870019363	0	IN
chr1	60856	57597	64116	1.5553557042084	0	IN
chr1	68501	65418	71585	-0.432433105435319	0	IN
chr1	112065	89294	134836	0.574042326633708	0	IN
chr1	135517	135140	135895	6.82499841945734	0	IN
chr1	137823	137681	137965	4.50038051312786	0	IN
chr1	140064	139789	140339	4.15381146696644	0	IN
chr1	157667	141473	173862	-0.998093948718235	0	IN
chr1	183434	182695	184174	0.663590869948124	0	IN
chr1	190313	185216	195411	-1.43888313188667	0	IN
chr1	390395	257863	522928	1.88869273969726	0	IN
chr1	722758	586070	859446	0	0	IN
chr1	872652	868070	877234	1.64669468736865	0	IN
chr1	910404	904833	915976	-2.16609086572211	0	IN
chr1	918940	916864	921016	-4.64347640629088	0	IN
chr1	941618	923927	959309	-1.38945492634927	0	IN
chr1	963150	960586	965715	-0.0182848335626806	0	IN
chr1	974294	966496	982093	-1.26072723743642	0	IN
chr1	997008	995965	998051	0.116203290071936	0	IN
chr1	999566	998961	1000172	4.00957102653479	0	IN
chr1	1007838	1001137	1014540	1.60263238472344	0	IN
chr1	1038120	1020122	1056118	-2.31613800668385	0	IN
chr1	1064544	1059733	1069355	-0.671697965744606	0	IN
chr1	1072636	1070965	1074307	4.53188652474144	0	IN
chr1	1099089	1081817	1116361	0	0	IN
chr1	1140536	1137016	1144056	-1.88831646741404	0	IN
chr1	1167150	1167103	1167198	4.48623089238587	0	IN
chr1	1167907	1167862	1167952	3.01440001914883	0	IN
chr1	1169045	1169004	1169087	-0.739340861860184	0	IN
chr1	1169849	1169356	1170343	-0.743523301279861	0	IN
chr1	1185495	1173055	1197935	0.700230563327195	0	IN
chr1	1205099	1203507	1206691	-1.69257666234004	0	IN
chr1	1212731	1211325	1214138	4.07073060998738	0	IN
chr1	1224469	1216907	1232031	-1.38945492634927	0	IN
chr1	1233633	1232225	1235041	-1.38945492634927	0	IN
chr1	1244583	1242445	1246722	-1.58176574061385	0	IN
chr1	1250555	1249776	1251334	3.08944819697482	0	IN
