Chromosome	Position	Start	End	Log2R	SegMean	Class
chr1	21488	11868	31109	-0.770295330541953	0	IN
chr1	35317	34553	36081	6.50604187934953	0	IN
chr1	52892	52472	53312	-4.28368370163595	0	IN
chr1	60856	57597	64116	-2.76779730250755	0	IN
chr1	68501	65418	71585	-1.29896629932688	0	IN
chr1	112065	89294	134836	0.408245958575481	0	IN
chr1	135517	135140	135895	6.51568143413568	0	IN
chr1	137823	137681	137965	4.4949301942118	0	IN
chr1	140064	139789	140339	1.99449643812709	0	IN
chr1	157667	141473	173862	-1.70268298840451	0	IN
chr1	183434	182695	184174	-0.153350660091199	0	IN
chr1	190313	185216	195411	-1.5645886452285	0	IN
chr1	390395	257863	522928	1.50038790821659	0	IN
chr1	722758	586070	859446	0	0	IN
chr1	872652	868070	877234	1.91086051962504	0	IN
chr1	910404	904833	915976	-3.01991441244045	0	IN
chr1	918940	916864	921016	-5.01120973738629	0	IN
chr1	941618	923927	959309	-1.12085957084996	0	IN
chr1	963150	960586	965715	0.428959845780957	0	IN
chr1	974294	966496	982093	-0.991992439886187	0	IN
chr1	997008	995965	998051	0.047471471514495	0	IN
chr1	999566	998961	1000172	2.5986698038619	0	IN
chr1	1007838	1001137	1014540	1.46839790615334	0	IN
chr1	1038120	1020122	1056118	-1.89174710934798	0	IN
chr1	1064544	1059733	1069355	-0.634053903521153	0	IN
chr1	1072636	1070965	1074307	5.01858331566727	0	IN
chr1	1099089	1081817	1116361	0	0	IN
chr1	1140536	1137016	1144056	-1.89174710934798	0	IN
chr1	1167150	1167103	1167198	3.87825257813085	0	IN
chr1	1167907	1167862	1167952	2.39504554278482	0	IN
chr1	1169045	1169004	1169087	-1.86021246738831	0	IN
chr1	1169849	1169356	1170343	0.368366860183103	0	IN
chr1	1185495	1173055	1197935	0.447355977999836	0	IN
chr1	1205099	1203507	1206691	-1.0121712669845	0	IN
chr1	1212731	1211325	1214138	3.33432149711845	0	IN
chr1	1224469	1216907	1232031	-1.12085957084996	0	IN
chr1	1233633	1232225	1235041	-1.12085957084996	0	IN
chr1	1244583	1242445	1246722	-1.12896962013854	0	IN
chr1	1250555	1249776	1251334	3.17959801799139	0	IN
chr1	1263896	1253908	1273885	-1.77733240333041	0	IN
chr1	1277821	1275222	1280420	1.6791921006773	0	IN
chr1	1286232	1280435	1292029	0.199684748067453	0	IN
chr1	1308533	1292375	1324691	-1.05446130194737	0	IN
chr1	1326826	1324755	1328897	2.01551237056795	0	IN
chr1	1340331	1331313	1349350	-0.113190767898171	0	IN
chr1	1357232	1352688	1361777	0.68179832067404	0	IN
chr1	1374612	1373729	1375495	0.510017836471468	0	IN
chr1	1378848	1378665	1379032	-10.4769063054541	0	IN
chr1	1392519	1385710	1399328	0.184691252340959	0	IN
chr1	1403417	1399521	1407313	-3.97857828993573	0	IN
chr1	1409856	1409095	1410618	-2.89173816396664	0	IN
chr1	1420555	1418419	1422691	1.79788980023332	0	IN
chr1	1426957	1426127	1427787	-1.97805468957913	0	IN
chr1	1432555	1430538	1434573	-1.44605202722131	0	IN
chr1	1438871	1434860	1442882	0.112129196979892	0	IN
chr1	1459923	1449688	1470158	-0.086258153594029	0	IN
chr1	1484808	1471768	1497848	4.24811287207017	0	IN
chr1	1506350	1503249	1509452	2.13260488134037	0	IN
chr1	1523418	1512150	1534687	0.610950682713294	0	IN
chr1	1537813	1535173	1540453	-1.89174710934798	0	IN
chr1	1559373	1541672	1577075	0	0	IN
chr1	1583709	1583509	1583909	-0.285002219698269	0	IN
chr1	1599053	1598011	1600096	-0.818271298965788	0	IN
chr1	1622183	1613757	1630610	-1.50829240407087	0	IN
chr1	1645553	1632094	1659012	0.885577774009685	0	IN
chr1	1676026	1659324	1692728	0	0	IN
chr1	1700861	1699941	1701782	2.84717915646892	0	IN
chr1	1724364	1702729	1745999	-0.314743191784337	0	IN
chr1	1765844	1751231	1780457	0.628972262629342	0	IN
chr1	1838200	1785284	1891117	0	0	IN
chr1	1892064	1891470	1892658	9.24242211354031	0	IN
chr1	1916061	1914826	1917296	6.89030341419909	0	IN
chr1	1918431	1917589	1919273	3.20796380601676	0	IN
chr1	1962893	1921950	2003837	-0.641377865465052	0	IN
chr1	2014371	2013212	2015530	0.0210616155278338	0	IN
chr1	2025027	2019297	2030758	1.71986937490184	0	IN
chr1	2049636	2049202	2050070	3.2884104808735	0	IN
chr1	2135603	2050469	2220738	-0.641377865465052	0	IN
chr1	2269406	2228694	2310119	1.10271913733952	0	IN
chr1	2356479	2321252	2391707	-0.641377865465052	0	IN
chr1	2402785	2391774	2413797	-0.641377865465052	0	IN
chr1	2465754	2425979	2505530	-1.12085957084996	0	IN
chr1	2517580	2508532	2526628	-1.12085957084996	0	IN
chr1	2538102	2528744	2547460	0.451623410583003	0	IN
chr1	2557650	2549919	2565382	0.738695592405906	0	IN
chr1	2568148	2566409	2569888	-1.12085957084996	0	IN
chr1	2583046	2581559	2584533	-0.343954401217359	0	IN
chr1	2694103	2586490	2801717	0	0	IN
chr1	2812270	2811849	2812692	4.76369643873016	0	IN
chr1	2814714	2814431	2814998	4.56350294253132	0	IN
chr1	2840198	2815199	2865198	0.527762379226626	0	OUT
chr1	2890198	2865199	2915198	-0.451811532686857	0	OUT
chr1	2964682	2960657	2968707	-2.23151558622612	0	IN
chr1	2993907	2968908	3018907	0.0558498364181703	0	OUT
chr1	3022192	3021482	3022903	4.29126678664095	0	IN
chr1	3064025	3059614	3068437	-0.998467175378891	0	IN
chr1	3253894	3069167	3438621	-0.641377865465052	0	IN
chr1	3467769	3454425	3481113	-0.450303152397585	0	IN
chr1	3487436	3487245	3487627	5.66865358808229	0	IN
chr1	3550707	3489919	3611495	-1.12085957084996	0	IN
chr1	3623966	3623189	3624743	-1.3425033043127	0	IN
chr1	3627564	3625001	3630127	-0.217977710170239	0	IN
chr1	3701205	3630766	3771645	-0.641377865465052	0	IN
chr1	3774371	3772760	3775982	7.82763780414012	0	IN
chr1	3787530	3778557	3796504	0	0	IN
chr1	3834647	3812080	3857214	0	0	IN
chr1	3871347	3857266	3885429	0	0	IN
chr1	3894708	3889124	3900293	2.6881497744899	0	IN
chr1	3908798	3900371	3917225	-6.31623593719787	0	IN
chr1	3947913	3940564	3955262	-0.958344240731704	0	IN
chr1	3994415	3976132	4012699	0	0	IN
chr1	4016214	4012920	4019508	-3.60740439462833	0	IN
