Chromosome	Position	Start	End	Log2R	SegMean	Class
chr1	21488	11868	31109	-0.530523669594216	0.168793481864958	IN
chr1	35317	34553	36081	7.85614716016495	0.168793481864958	IN
chr1	52892	52472	53312	-2.11375870019364	0.168793481864958	IN
chr1	60856	57597	64116	1.55948379600114	0.168793481864958	IN
chr1	68501	65418	71585	-0.428305013642582	0.168793481864958	IN
chr1	112065	89294	134836	0.574042326633707	0.168793481864958	IN
chr1	135517	135140	135895	6.82499841945735	0.168793481864958	IN
chr1	137823	137681	137965	4.50038051312786	0.168793481864958	IN
chr1	140064	139789	140339	4.15381146696644	0.168793481864958	IN
chr1	157667	141473	173862	-0.998093948718229	0.168793481864958	IN
chr1	183434	182695	184174	0.665424721183503	0.168793481864958	IN
chr1	190313	185216	195411	-1.4370492806513	0.168793481864958	IN
chr1	390395	257863	522928	1.89282083148999	0.168793481864958	IN
chr1	722758	586070	859446	0	0.168793481864958	IN
chr1	872652	868070	877234	1.64669468736865	0.168793481864958	IN
chr1	910404	904833	915976	-2.16609086572211	0.168793481864958	IN
chr1	918940	916864	921016	-4.64347640629087	0.168793481864958	IN
chr1	941618	923927	959309	-1.38945492634927	0.168793481864958	IN
chr1	963150	960586	965715	-0.0182848335626784	0.168793481864958	IN
chr1	974294	966496	982093	-1.26072723743642	0.168793481864958	IN
chr1	997008	995965	998051	0.116203290071937	0.168793481864958	IN
chr1	999566	998961	1000172	4.00957102653479	0.168793481864958	IN
chr1	1007838	1001137	1014540	1.60446623595881	0.168793481864958	IN
chr1	1038120	1020122	1056118	-2.31613800668385	0.168793481864958	IN
chr1	1064544	1059733	1069355	-0.671697965744604	0.168793481864958	IN
chr1	1072636	1070965	1074307	4.53188652474144	0.168793481864958	IN
chr1	1099089	1081817	1116361	0	0.168793481864958	IN
chr1	1140536	1137016	1144056	-1.88831646741404	0.168793481864958	IN
chr1	1167150	1167103	1167198	4.48713581689957	0.168793481864958	IN
chr1	1167907	1167862	1167952	3.01623387038421	0.168793481864958	IN
chr1	1169045	1169004	1169087	-0.737507010624805	0.168793481864958	IN
chr1	1169849	1169356	1170343	-0.743523301279861	0.168793481864958	IN
chr1	1185495	1173055	1197935	0.702064414562578	0.168793481864958	IN
chr1	1205099	1203507	1206691	-1.69257666234004	0.168793481864958	IN
chr1	1212731	1211325	1214138	4.07073060998738	0.168793481864958	IN
chr1	1224469	1216907	1232031	-1.38945492634927	0.168793481864958	IN
chr1	1233633	1232225	1235041	-1.38945492634927	0.168793481864958	IN
chr1	1244583	1242445	1246722	-1.58176574061385	0.168793481864958	IN
chr1	1250555	1249776	1251334	3.0912820482102	0.168793481864958	IN
chr1	1263896	1253908	1273885	-1.81003616834853	0.168793481864958	IN
chr1	1277821	1275222	1280420	1.9202002001811	0.168793481864958	IN
chr1	1286232	1280435	1292029	0.0790547464640725	0.168793481864958	IN
chr1	1308533	1292375	1324691	-1.32329102615993	0.168793481864958	IN
chr1	1326826	1324755	1328897	1.59193804788071	0.168793481864958	IN
chr1	1340331	1331313	1349350	0.443400359155445	0.168793481864958	IN
chr1	1357232	1352688	1361777	0.802663394328648	0.168793481864958	IN
chr1	1374612	1373729	1375495	1.05688272026113	0.168793481864958	IN
chr1	1378848	1378665	1379032	-11.0764581011784	0.168793481864958	IN
chr1	1392519	1385710	1399328	0.717377391621491	0.168793481864958	IN
chr1	1403417	1399521	1407313	-2.70488374294699	0.168793481864958	IN
chr1	1409856	1409095	1410618	-4.33105108620737	0.168793481864958	IN
chr1	1420555	1418419	1422691	1.65304898646464	0.168793481864958	IN
chr1	1426957	1426127	1427787	-0.935979611013217	0.168793481864958	IN
chr1	1432555	1430538	1434573	-0.816938703642781	0.168793481864958	IN
chr1	1438871	1434860	1442882	-0.166988918711818	0.168793481864958	IN
chr1	1459923	1449688	1470158	-0.0809036110176096	0.168793481864958	IN
chr1	1484808	1471768	1497848	4.91055085514356	0.168793481864958	IN
chr1	1506350	1503249	1509452	2.68008454852234	0.168793481864958	IN
chr1	1523418	1512150	1534687	0.656849331347467	0.168793481864958	IN
chr1	1537813	1535173	1540453	-2.31613800668385	0.168793481864958	IN
chr1	1559373	1541672	1577075	0	0.168793481864958	IN
chr1	1583709	1583509	1583909	2.03100284871383	0.168793481864958	IN
chr1	1599053	1598011	1600096	-0.270526214013405	0.168793481864958	IN
chr1	1622183	1613757	1630610	-1.93230441540681	0.168793481864958	IN
chr1	1645553	1632094	1659012	1.72420510488924	0.168793481864958	IN
chr1	1676026	1659324	1692728	0	0.168793481864958	IN
chr1	1700861	1699941	1701782	4.6850394223488	0.168793481864958	IN
chr1	1724364	1702729	1745999	-0.280148843846705	0.168793481864958	IN
chr1	1765844	1751231	1780457	0.615235888938016	0.168793481864958	IN
chr1	1838200	1785284	1891117	0	0.168793481864958	IN
chr1	1892064	1891470	1892658	8.96915380221124	0.168793481864958	IN
chr1	1916061	1914826	1917296	7.70287849968374	0.168793481864958	IN
chr1	1918431	1917589	1919273	3.71424754136615	0.168793481864958	IN
chr1	1962893	1921950	2003837	-0.674081630483174	0.168793481864958	IN
chr1	2014371	2013212	2015530	1.52293970241749	0.168793481864958	IN
chr1	2025027	2019297	2030758	1.62887358733688	0.168793481864958	IN
chr1	2049636	2049202	2050070	1.34660870152254	0.168793481864958	IN
chr1	2135603	2050469	2220738	-0.674081630483174	0.168793481864958	IN
chr1	2269406	2228694	2310119	1.30606590452211	0.168793481864958	IN
chr1	2356479	2321252	2391707	-0.674081630483174	0.168793481864958	IN
chr1	2402785	2391774	2413797	-0.674081630483174	0.168793481864958	IN
chr1	2465754	2425979	2505530	-1.38945492634927	0.168793481864958	IN
chr1	2517580	2508532	2526628	-1.38945492634927	0.168793481864958	IN
chr1	2538102	2528744	2547460	0.859155876797498	0.168793481864958	IN
chr1	2557650	2549919	2565382	0.785288613070107	0.168793481864958	IN
chr1	2568148	2566409	2569888	-1.38945492634927	0.168793481864958	IN
chr1	2583046	2581559	2584533	0.241008099503794	0.168793481864958	IN
chr1	2694103	2586490	2801717	0	0.168793481864958	IN
chr1	2812270	2811849	2812692	3.46895550394795	0.168793481864958	IN
chr1	2814714	2814431	2814998	3.60629237515446	0.168793481864958	IN
chr1	2830198	2815199	2845198	0.96406775145237	0.168793481864958	OUT
chr1	2860198	2845199	2875198	0.978847013011637	0.168793481864958	OUT
chr1	2890198	2875199	2905198	0.597561161558267	0.168793481864958	OUT
chr1	2920198	2905199	2935198	0.627572828517976	0.168793481864958	OUT
chr1	2964682	2960657	2968707	-2.69230364600406	0.168793481864958	IN
chr1	2983907	2968908	2998907	0.903343230882932	0.168793481864958	OUT
chr1	3022192	3021482	3022903	4.39111557421513	0.168793481864958	IN
chr1	3038103	3023104	3053103	0.66971173459599	0.168793481864958	OUT
chr1	3064025	3059614	3068437	-1.25410964455171	0.168793481864958	IN
chr1	3253894	3069167	3438621	-0.674081630483174	0.168793481864958	IN
chr1	3467769	3454425	3481113	-0.573732110624323	0.168793481864958	IN
