Chromosome	Position	Start	End	Log2R	SegMean	Class
chr1	21488	11868	31109	0.435439934933072	0	IN
chr1	35317	34553	36081	4.37950964647814	0	IN
chr1	52892	52472	53312	-0.15200309344505	0	IN
chr1	60856	57597	64116	-0.602427914584819	0	IN
chr1	68501	65418	71585	-7.2092617439515	0	IN
chr1	112065	89294	134836	2.05568094611987	0	IN
chr1	135517	135140	135895	2.6505966395552	0	IN
chr1	137823	137681	137965	-1.51788089899328	0	IN
chr1	140064	139789	140339	3.60218694186422	0	IN
chr1	157667	141473	173862	2.05439154942795	0	IN
chr1	183434	182695	184174	0.784109975263654	0	IN
chr1	190313	185216	195411	0.731956755683663	0	IN
chr1	390395	257863	522928	0.184673144420332	0	IN
chr1	722758	586070	859446	0	0	IN
chr1	872652	868070	877234	-0.106849505237901	0	IN
chr1	910404	904833	915976	4.26827499176239	0	IN
chr1	918940	916864	921016	2.78036491161318	0	IN
chr1	941618	923927	959309	0.238027369301374	0	IN
chr1	963150	960586	965715	-1.04495293789891	0	IN
chr1	974294	966496	982093	-0.613178521450342	0	IN
chr1	997008	995965	998051	0.109702250556296	0	IN
chr1	999566	998961	1000172	-0.283276687319438	0	IN
chr1	1007838	1001137	1014540	3.11882924628054	0	IN
chr1	1038120	1020122	1056118	0.734119703677972	0	IN
chr1	1064544	1059733	1069355	0.210275729184036	0	IN
chr1	1072636	1070965	1074307	-1.14580384433028	0	IN
chr1	1099089	1081817	1116361	0	0	IN
chr1	1140536	1137016	1144056	0.461101209271557	0	IN
chr1	1167150	1167103	1167198	-9.43969621336395	0	IN
chr1	1167907	1167862	1167952	-6.03125912522191	0	IN
chr1	1169045	1169004	1169087	-10.2975915809851	0	IN
chr1	1169849	1169356	1170343	2.59118632059681	0	IN
chr1	1185495	1173055	1197935	-0.382799106229262	0	IN
chr1	1205099	1203507	1206691	-0.875601442389749	0	IN
chr1	1212731	1211325	1214138	0.845798486977621	0	IN
chr1	1224469	1216907	1232031	0.238027369301374	0	IN
chr1	1233633	1232225	1235041	0.313052228417489	0	IN
chr1	1244583	1242445	1246722	0.286451200159161	0	IN
chr1	1250555	1249776	1251334	2.8441626437196	0	IN
chr1	1263896	1253908	1273885	-0.972204635310919	0	IN
chr1	1277821	1275222	1280420	0.676693328954763	0	IN
chr1	1286232	1280435	1292029	1.46174056241234	0	IN
chr1	1308533	1292375	1324691	-1.16251778562792	0	IN
chr1	1326826	1324755	1328897	-2.77599564946551	0	IN
chr1	1340331	1331313	1349350	-3.11937358200824	0	IN
chr1	1357232	1352688	1361777	0.299182646961424	0	IN
chr1	1374612	1373729	1375495	-3.46263653764526	0	IN
chr1	1378848	1378665	1379032	2.4447046149492	0	IN
chr1	1392519	1385710	1399328	0.424493486443236	0	IN
chr1	1403417	1399521	1407313	-4.3418385353697	0	IN
chr1	1409856	1409095	1410618	1.76043223398711	0	IN
chr1	1420555	1418419	1422691	3.45066448672279	0	IN
chr1	1426957	1426127	1427787	-0.141579965330232	0	IN
chr1	1432555	1430538	1434573	2.86049001961441	0	IN
chr1	1438871	1434860	1442882	2.04111381644057	0	IN
chr1	1459923	1449688	1470158	-0.812858460607047	0	IN
chr1	1484808	1471768	1497848	0	0	IN
chr1	1506350	1503249	1509452	3.24594256395902	0	IN
chr1	1523418	1512150	1534687	0.13723836539226	0	IN
chr1	1537813	1535173	1540453	0.734119703677972	0	IN
chr1	1559373	1541672	1577075	0	0	IN
chr1	1583709	1583509	1583909	-3.59674692653299	0	IN
chr1	1599053	1598011	1600096	-0.194965395850591	0	IN
chr1	1622183	1613757	1630610	-0.0835075638263136	0	IN
chr1	1645553	1632094	1659012	-0.106657250378925	0	IN
chr1	1676026	1659324	1692728	0	0	IN
chr1	1700861	1699941	1701782	-2.21995094551557	0	IN
chr1	1724364	1702729	1745999	0.387528174019142	0	IN
chr1	1765844	1751231	1780457	-0.0747164973103551	0	IN
chr1	1838200	1785284	1891117	0	0	IN
chr1	1892064	1891470	1892658	2.59166925935319	0	IN
chr1	1916061	1914826	1917296	-2.18875840408411	0	IN
chr1	1918431	1917589	1919273	-2.77887490317503	0	IN
chr1	1962893	1921950	2003837	0	0	IN
chr1	2014371	2013212	2015530	0.14567231817221	0	IN
chr1	2025027	2019297	2030758	-0.418018229481266	0	IN
chr1	2049636	2049202	2050070	1.09100768337058	0	IN
chr1	2135603	2050469	2220738	0	0	IN
chr1	2269406	2228694	2310119	1.52069013027058	0	IN
chr1	2356479	2321252	2391707	0	0	IN
chr1	2402785	2391774	2413797	0	0	IN
chr1	2465754	2425979	2505530	0.238027369301374	0	IN
chr1	2517580	2508532	2526628	0.238027369301374	0	IN
chr1	2538102	2528744	2547460	-0.241567851301754	0	IN
chr1	2557650	2549919	2565382	-0.990264570754332	0	IN
chr1	2568148	2566409	2569888	-1.87744984811856	0	IN
chr1	2583046	2581559	2584533	0.412208374665772	0	IN
chr1	2694103	2586490	2801717	0	0	IN
chr1	2812270	2811849	2812692	3.61545712604885	0	IN
chr1	2814714	2814431	2814998	6.07318228522341	0	IN
chr1	2840198	2815199	2865198	-0.169297469108477	0	OUT
chr1	2890198	2865199	2915198	-0.175661900408973	0	OUT
chr1	2964682	2960657	2968707	2.58461405228615	0	IN
chr1	2993907	2968908	3018907	0.154073259689851	0	OUT
chr1	3022192	3021482	3022903	-5.48696447274956	0	IN
chr1	3064025	3059614	3068437	-0.322110685878716	0	IN
chr1	3253894	3069167	3438621	0	0	IN
chr1	3467769	3454425	3481113	0.235531570198159	0	IN
chr1	3487436	3487245	3487627	7.0692622026192	0	IN
chr1	3550707	3489919	3611495	0.238027369301374	0	IN
chr1	3623966	3623189	3624743	0.954274792865054	0	IN
chr1	3627564	3625001	3630127	-0.921450124533124	0	IN
chr1	3701205	3630766	3771645	0	0	IN
chr1	3774371	3772760	3775982	0.414483506470963	0	IN
chr1	3787530	3778557	3796504	-0.477161013655051	0	IN
chr1	3834647	3812080	3857214	0	0	IN
chr1	3871347	3857266	3885429	0	0	IN
chr1	3894708	3889124	3900293	-0.375408496509	0	IN
chr1	3908798	3900371	3917225	1.39737124819525	0	IN
chr1	3947913	3940564	3955262	2.96912616037776	0	IN
chr1	3994415	3976132	4012699	0	0	IN
chr1	4016214	4012920	4019508	3.37244631828598	0	IN
chr1	4044708	4019709	4069708	-0.448021376188663	0	OUT
chr1	4094708	4069709	4119708	-0.0299099443279471	0	OUT
chr1	4144708	4119709	4169708	0.0466752715928366	0	OUT
chr1	4175713	4175527	4175899	1.06606310914763	0	IN
chr1	4201099	4176100	4226099	-0.222441749383751	0	OUT
chr1	4251099	4226100	4276099	-0.138424679834121	0	OUT
chr1	4301099	4276100	4326099	0.399407726641832	0	OUT
chr1	4351099	4326100	4376099	0.231920142183851	0	OUT
chr1	4418357	4412026	4424689	3.45497611955669	0	IN
chr1	4449889	4424890	4474889	-0.00198604858327248	0	OUT
chr1	4481752	4479130	4484375	-0.42742122373468	0	IN
chr1	4509575	4484576	4534575	-0.237372392627429	0	OUT
chr1	4551939	4551734	4552145	9.75271552840193	0	IN
chr1	4582744	4571480	4594009	3.78338526852191	0	IN
chr1	4619209	4594210	4644209	0.12160850069687	0	OUT
chr1	4723632	4654731	4792534	0.991089504186592	0	IN
chr1	4817734	4792735	4842734	0.0652833643426683	0	OUT
chr1	4867734	4842735	4892734	-0.100132217667771	0	OUT
chr1	4917734	4892735	4942734	-0.00839921579544669	0	OUT
chr1	4968625	4963953	4973298	0	0	IN
chr1	4977474	4973380	4981568	4.38360020567765	0	IN
chr1	5006768	4981769	5031768	-0.246271754661371	0	OUT
chr1	5056768	5031769	5081768	-0.290923652253046	0	OUT
chr1	5088678	5086458	5090899	0	0	IN
chr1	5116099	5091100	5141099	0.0512749392059605	0	OUT
chr1	5166099	5141100	5191099	-0.204247686087079	0	OUT
chr1	5216099	5191100	5241099	0.0629206569875501	0	OUT
chr1	5266099	5241100	5291099	-0.257109518285801	0	OUT
chr1	5304660	5301927	5307394	1.91124513042756	0	IN
chr1	5332594	5307595	5357594	0.345918985127207	0	OUT
chr1	5382594	5357595	5407594	0.339606163861032	0	OUT
chr1	5432594	5407595	5457594	0.00294964796234459	0	OUT
chr1	5486704	5478735	5494674	2.61378266065773	0	IN
chr1	5519874	5494875	5544874	-0.0895774990252304	0	OUT
chr1	5554813	5554746	5554881	3.53365982961284	0	IN
chr1	5615001	5561708	5668295	0	0	IN
chr1	5693495	5668496	5718495	-0.00563241049159325	0	OUT
chr1	5743495	5718496	5768495	-0.00869524673722685	0	OUT
chr1	5793495	5768496	5818495	0.0251246183360284	0	OUT
chr1	5862706	5862671	5862741	3.53365982961284	0	IN
chr1	5982001	5862810	6101193	0	0	IN
chr1	6170618	6101792	6239444	0	0	IN
chr1	6244884	6244191	6245578	-0.830951986491752	0	IN
chr1	6254160	6247345	6260975	1.49216215749597	0	IN
chr1	6329329	6264268	6394391	0	0	IN
chr1	6418543	6412417	6424670	0	0	IN
chr1	6472418	6424775	6520061	0	0	IN
chr1	6537940	6521346	6554535	0	0	IN
chr1	6567468	6555180	6579757	0	0	IN
chr1	6584640	6580000	6589280	-0.421158934068093	0	IN
chr1	6607378	6590723	6624033	-1.71044837599537	0	IN
chr1	6663394	6624865	6701924	0	0	IN
chr1	6727324	6724636	6730012	0.204778864047084	0	IN
chr1	6768995	6767953	6770038	0.997229581403307	0	IN
chr1	6784367	6783891	6784843	2.12031752896547	0	IN
chr1	7277514	6785323	7769706	0	0	IN
chr1	7776350	7771268	7781432	-3.4647531924917	0	IN
chr1	7818915	7784319	7853512	0	0	IN
chr1	7878712	7853713	7903712	0.0392112305233083	0	OUT
chr1	7929529	7915893	7943165	-0.597706465951673	0	IN
chr1	7969897	7954290	7985505	0	0	IN
chr1	8008720	7991133	8026308	0.67174906568224	0	IN
chr1	8074719	8026737	8122702	3.14674752588408	0	IN
chr1	8147902	8122903	8172902	-0.241882472814979	0	OUT
chr1	8191296	8189823	8192770	-0.215656058396328	0	IN
chr1	8208819	8202428	8215210	0	0	IN
chr1	8219359	8218189	8220529	-0.194495873630339	0	IN
chr1	8245729	8220730	8270729	-0.224865069250728	0	OUT
chr1	8292209	8292156	8292263	3.53365982961284	0	IN
chr1	8330996	8317825	8344167	-0.626699194573565	0	IN
chr1	8585019	8352396	8817643	0	0	IN
chr1	8831190	8831006	8831375	-2.76474875067974	0	IN
chr1	8870446	8860999	8879894	-0.0950952390328581	0	IN
chr1	8883479	8883426	8883533	9.89128144838245	0	IN
chr1	8893779	8893408	8894151	-0.837197484792689	0	IN
chr1	8907568	8907392	8907744	5.01680828768655	0	IN
chr1	8909822	8909741	8909904	3.53365982961284	0	IN
chr1	8960479	8945866	8975092	0.0546224333514616	0	IN
chr1	8979724	8979575	8979874	0.99031744660266	0	IN
chr1	9014822	9003299	9026345	0.275699601747218	0	IN
chr1	9061792	9035106	9088478	0.697632578027159	0	IN
chr1	9114737	9100304	9129170	0	0	IN
chr1	9173458	9148010	9198906	-0.0324408682029378	0	IN
chr1	9253055	9234774	9271337	0	0	IN
chr1	9331205	9292879	9369532	0	0	IN
chr1	9394732	9369733	9419732	-0.20640651223847	0	OUT
chr1	9421979	9421097	9422862	0.100107849409478	0	IN
chr1	9432828	9425093	9440564	3.99909182590898	0	IN
chr1	9465764	9440765	9490764	-0.354320247321387	0	OUT
chr1	9502281	9501091	9503471	0.925392861876743	0	IN
chr1	9562330	9539481	9585179	-0.0594207128951987	0	IN
chr1	9601897	9588921	9614873	0	0	IN
chr1	9738128	9651731	9824526	0	0	IN
chr1	9827279	9826288	9828271	1.99854567019853	0	IN
chr1	9879305	9848275	9910336	0	0	IN
chr1	9953806	9922112	9985501	0	0	IN
chr1	10006612	9997205	10016020	0.5514809315473	0	IN
chr1	10107035	10032831	10181239	-0.108329780424192	0	IN
chr1	10296203	10210804	10381603	0	0	IN
chr1	10384527	10381905	10387150	0	0	IN
chr1	10396423	10395415	10397432	0.89236970559009	0	IN
chr1	10409367	10398591	10420144	0	0	IN
chr1	10441016	10429880	10452153	0.794345651541391	0	IN
chr1	10543639	10456521	10630758	0	0	IN
chr1	10716626	10636603	10796650	0	0	IN
chr1	10821850	10796851	10846850	0.0190890338963078	0	OUT
chr1	10895879	10895760	10895998	-2.50335857674776	0	IN
chr1	10921198	10896199	10946198	-0.429742372553003	0	OUT
chr1	10964253	10946470	10982037	0	0	IN
chr1	10991387	10990977	10991797	0.481903760606543	0	IN
chr1	11029788	11012343	11047233	-0.282065067085639	0	IN
chr1	11057303	11054583	11060024	-1.13962621929564	0	IN
chr1	11084358	11066617	11102100	-1.32228333242024	0	IN
chr1	11184520	11106534	11262507	0	0	IN
chr1	11284627	11273205	11296049	1.23211154801837	0	IN
chr1	11315413	11311733	11319093	3.05668322301209	0	IN
chr1	11344293	11319294	11369293	-0.190406162557249	0	OUT
chr1	11394293	11369294	11419293	-0.0598511390537257	0	OUT
chr1	11425538	11425256	11425821	5.19117912820048	0	IN
chr1	11451021	11426022	11476021	-0.0208960853411462	0	OUT
chr1	11508374	11479165	11537584	0	0	IN
chr1	11562784	11537785	11587784	-0.108446392645777	0	OUT
chr1	11611442	11609530	11613355	-0.170302225928941	0	IN
chr1	11643442	11623557	11663327	0	0	IN
chr1	11669238	11664123	11674354	0	0	IN
chr1	11683064	11674479	11691650	0.129074775743555	0	IN
chr1	11708792	11691728	11725857	0.789974461538284	0	IN
chr1	11745442	11736083	11754802	-0.239112853182716	0	IN
chr1	11805065	11761786	11848345	-0.163754292956934	0	IN
chr1	11858197	11857463	11858931	-2.63187677148453	-1.68839072325231	IN
chr1	11879087	11877769	11880406	-0.956986326621589	-1.68839072325231	IN
chr1	11910689	11908146	11913232	0	-1.68839072325231	IN
chr1	11923009	11919590	11926428	0	-1.68839072325231	IN
chr1	11954871	11934204	11975538	0	-1.68839072325231	IN
chr1	11996847	11980180	12013514	-0.780835980709947	-1.68839072325231	IN
chr1	12017261	12017215	12017308	-4.56253991310383	-1.68839072325231	IN
chr1	12025755	12019465	12032045	-0.228705373439128	-1.68839072325231	IN
chr1	12036876	12036739	12037014	2.59557060028714	-1.68839072325231	IN
chr1	12103791	12063376	12144207	0	-1.68839072325231	IN
chr1	12188085	12166942	12209228	0	-1.68839072325231	IN
chr1	12220951	12220793	12221109	-1.47306348422507	-1.68839072325231	IN
chr1	12221209	12221147	12221271	-5.63234129130635	-1.68839072325231	IN
chr1	12371038	12230029	12512047	0	-1.68839072325231	IN
chr1	12528071	12527723	12528420	3.7569558825047	-1.68839072325231	IN
chr1	12592820	12567909	12617731	0	-1.68839072325231	IN
chr1	12619071	12618899	12619244	-3.29780082506454	-1.68839072325231	IN
chr1	12655816	12644546	12667086	-0.00760858392889885	-1.68839072325231	IN
chr1	12692964	12692908	12693020	-10.564766979022	-1.68839072325231	IN
chr1	12722436	12716114	12728759	-0.0444215777082566	-1.68839072325231	IN
chr1	12754956	12746214	12763699	2.16361835017138	-1.68839072325231	IN
chr1	12776373	12774840	12777906	-0.763857815315247	-1.68839072325231	IN
chr1	12794012	12791396	12796628	-4.10762324634273	-1.68839072325231	IN
chr1	12822922	12822685	12823159	0.0203210433159233	-1.68839072325231	IN
chr1	12828007	12824604	12831410	-4.86995859937098	-1.68839072325231	IN
chr1	12839740	12838124	12841357	-5.49651865183097	-1.68839072325231	IN
chr1	12848066	12847407	12848725	-2.23575104275179	-1.68839072325231	IN
chr1	12859497	12857085	12861909	-1.09789887533983	-1.68839072325231	IN
chr1	12882712	12879223	12886201	-6.46376871870244	-1.68839072325231	IN
chr1	12895582	12892895	12898270	-3.99396603046311	-1.68839072325231	IN
chr1	12918545	12916609	12920482	-0.209560728030281	-1.68839072325231	IN
chr1	12922606	12922553	12922660	3.53365982961284	-1.68839072325231	IN
chr1	12927207	12926161	12928253	-7.96290394604164	-1.68839072325231	IN
chr1	12943025	12938471	12947580	-1.11523516513552	-1.68839072325231	IN
chr1	13030734	13029338	13032130	-0.612067267993126	-1.68839072325231	IN
chr1	13052983	13049475	13056491	-1.65673109394706	-1.68839072325231	IN
chr1	13061548	13060868	13062229	-7.29377531246842	-1.68839072325231	IN
chr1	13073280	13068676	13077884	-2.33098942472814	-1.68839072325231	IN
chr1	13096574	13095178	13097971	-1.2730162088988	-1.68839072325231	IN
chr1	13105045	13104402	13105689	-4.89100945175538	-1.68839072325231	IN
chr1	13116174	13115495	13116854	-4.66803311960903	-1.68839072325231	IN
chr1	13130216	13128817	13131615	-4.1776840247124	-1.68839072325231	IN
chr1	13147220	13146980	13147460	5.30867273802852	-1.68839072325231	IN
chr1	13152432	13148904	13155961	-4.62989600808146	-1.68839072325231	IN
chr1	13165026	13164585	13165467	-2.08600410646202	-1.68839072325231	IN
chr1	13175959	13172454	13179464	-2.45751395935975	-1.68839072325231	IN
chr1	13198869	13196329	13201409	-4.39726180824589	-1.68839072325231	IN
chr1	13224405	13222704	13226106	-8.74739569709672	-1.68839072325231	IN
chr1	13247257	13245862	13248652	-3.86040796565807	-1.68839072325231	IN
chr1	13258762	13254211	13263314	-5.21960704545325	-1.68839072325231	IN
chr1	13274582	13273538	13275627	-7.52870755920631	-1.68839072325231	IN
chr1	13279177	13279124	13279231	-5.26988172515781	-1.68839072325231	IN
chr1	13283104	13281034	13285174	-5.80348843862866	-1.68839072325231	IN
chr1	13306222	13303538	13308907	-1.68839072325231	-1.68839072325231	IN
chr1	13319089	13315580	13322598	-2.10531779927893	-1.68839072325231	IN
chr1	13324278	13324038	13324518	2.87571333075241	-1.68839072325231	IN
chr1	13344583	13342033	13347134	-2.62621229296332	-1.68839072325231	IN
chr1	13370483	13369066	13371900	-2.1195790420829	-1.68839072325231	IN
chr1	13391130	13389631	13392629	-0.959653223719146	-1.68839072325231	IN
chr1	13415888	13410449	13421328	0	-1.68839072325231	IN
chr1	13446528	13421529	13471528	-0.0542371827018854	-1.68839072325231	OUT
chr1	13495623	13474976	13516270	0	-1.68839072325231	IN
chr1	13555347	13555000	13555694	-2.35424581516009	-1.68839072325231	IN
chr1	13600710	13583464	13617957	0	0.0434404786525302	IN
chr1	13623233	13623183	13623284	3.53365982961284	0.0434404786525302	IN
chr1	13658610	13657310	13659910	5.7011640711408	0.0434404786525302	IN
chr1	13696134	13696069	13696199	9.16600112091918	0.0434404786525302	IN
chr1	13762638	13700197	13825079	0	0.0434404786525302	IN
chr1	13850279	13825280	13875279	-0.0981264526499988	0.0434404786525302	OUT
chr1	14556635	13892791	15220480	0	0.0434404786525302	IN
chr1	15226960	15226372	15227549	4.72246602447109	0.0434404786525302	IN
chr1	15323777	15247271	15400283	2.15905272767136	0.0434404786525302	IN
